gyro_x,gyro_y,gyro_z,activity
0.1658,0.2198,0.3492,2
-0.1592,-0.01841,0.09146,2
-0.1567,-0.121,-0.3349,2
0.1279,-0.01108,-0.2286,2
0.0008794,0.1575,0.08046,2
0.1512,0.3151,0.1696,2
-0.1592,-0.04162,0.2869,2
-0.3742,-0.1516,-0.1382,2
-0.008894,-0.04773,-0.2922,2
0.1206,0.1184,0.04992,2
0.1621,0.2663,0.09023,2
-0.04555,0.08666,0.3419,2
-0.3937,-0.1846,0.04625,2
-0.1995,-0.11,-0.3142,2
0.1414,0.07444,-0.1065,2
0.1389,0.2125,0.04625,2
0.1194,0.2308,0.2784,2
-0.3241,-0.154,0.1208,2
-0.533,-0.2542,-0.3056,2
-0.04432,-0.03673,-0.3313,2
0.3613,0.2516,-0.06248,2
0.6264,0.5216,0.3529,2
-0.1469,0.05734,0.293,2
-0.6552,-0.1455,0.1318,2
-0.4939,0.009693,0.1916,2
0.02409,0.4495,0.4775,2
-0.03944,1.139,0.9186,2
-0.7859,1.304,1.181,2
-0.5709,1.391,1.16,2
-0.511,1.544,1.043,2
-0.8042,1.892,1.015,2
-1.082,2.457,1.209,2
-1.173,2.616,1.373,2
-0.7835,2.467,1.212,2
-0.6246,2.241,0.8868,2
-0.6967,2.148,0.7414,2
-0.946,2.275,0.8807,2
-1.376,2.013,1.002,2
-1.762,1.493,0.8257,2
-1.537,1.164,0.4702,2
-1.343,0.9688,0.2039,2
-1.275,0.9797,0.2185,2
-1.102,0.6768,0.3712,2
-1.281,0.2345,0.3529,2
-1.326,0.1355,0.1354,2
-0.9056,0.2088,-0.007505,2
-0.4585,0.3567,0.02426,2
-0.2862,0.4141,0.166,2
-0.4683,0.03046,0.06824,2
-0.2349,-0.0123,-0.2213,2
-0.3094,0.3017,0.09146,2
-0.219,0.1477,0.05725,2
-0.1005,-0.0123,-0.2042,2
-0.2325,0.1148,0.0548,2
0.02287,0.1025,0.1183,2
0.1438,-0.2664,-0.1248,2
0.3161,-0.2774,-0.407,2
0.1902,-0.2395,-0.3569,2
-0.05288,-0.2066,-0.1052,2
0.1829,-0.04895,0.07802,2
0.233,-0.3984,-0.04538,2
0.5006,-0.5083,-0.3276,2
0.6227,-0.4937,-0.4461,2
1.193,-0.4717,-0.2763,2
1.418,-0.2285,-0.04171,2
0.8671,-0.4973,-0.05882,2
0.5714,-0.5902,-0.2628,2
0.6374,-0.4643,-0.2702,2
0.3527,-0.3251,-0.05882,2
0.01432,0.0549,0.1244,2
-0.3119,0.07444,0.1929,2
-0.2948,-0.2224,0.1134,2
0.09129,-0.3483,-0.1688,2
0.1695,-0.264,-0.2103,2
0.09984,0.05612,-0.02339,2
-0.1579,0.4031,0.2955,2
-0.4622,0.0439,0.3175,2
-0.02966,-0.1186,0.02548,2
0.2293,-0.1418,-0.1712,2
0.1108,-0.01596,-0.07959,2
0.1524,0.4336,0.2148,2
-0.2874,0.03779,0.3712,2
-0.2312,-0.231,0.1635,2
0.05464,-0.2469,-0.2152,2
0.2012,-0.1198,-0.2409,2
0.3014,0.3249,0.01449,2
-0.1714,0.2748,0.2723,2
-0.4756,-0.1332,0.2491,2
-0.2276,-0.2579,-0.1553,2
0.1169,-0.1723,-0.3276,2
0.3344,0.1282,-0.1651,2
0.1499,0.5167,0.2197,2
-0.467,-0.06728,0.4054,2
-0.4279,-0.3128,0.07557,2
-0.0003424,-0.1992,-0.2861,2
0.343,-0.007411,-0.2714,2
0.4981,0.4251,0.04503,2
-0.01134,0.1734,0.3517,2
-0.4035,-0.2994,0.199,2
-0.07487,-0.3226,-0.2592,2
0.3894,-0.2017,-0.4217,2
0.613,0.2137,-0.2079,2
0.2636,0.4776,0.2503,2
-0.5501,-0.04773,0.3834,2
-0.4292,-0.2615,0.01326,2
0.09129,-0.1015,-0.2873,2
0.3711,0.1795,-0.203,2
0.3246,0.5289,0.1794,2
-0.2691,0.06467,0.3773,2
-0.4096,-0.2774,0.0939,2
-0.06021,-0.2347,-0.2873,2
0.3136,-0.08682,-0.2738,2
0.4456,0.3102,0.01693,2
0.05219,0.4532,0.3737,2
-0.5,-0.1552,0.3566,2
-0.3058,-0.3018,-0.0857,2
0.06319,-0.1736,-0.3142,2
0.3955,0.2076,-0.1602,2
0.3051,0.5497,0.2491,2
-0.4047,-0.04162,0.3615,2
-0.511,-0.3336,0.0267,2
-0.252,-0.1552,-0.28,2
0.1646,0.09766,-0.2176,2
0.4346,0.513,0.1428,2
0.03753,0.3041,0.4348,2
-0.4609,-0.2285,0.2466,2
-0.3473,-0.2518,-0.1798,2
0.04853,-0.1601,-0.2983,2
0.4908,0.2174,-0.0356,2
0.3772,0.4446,0.3358,2
-0.2777,-0.08438,0.348,2
-0.4915,-0.3202,-0.02217,2
-0.1286,-0.2628,-0.3386,2
0.4273,0.02924,-0.2189,2
0.6191,0.4006,0.1758,2
0.005766,0.1111,0.3285,2
-0.4658,-0.2799,0.0829,2
-0.2056,-0.2921,-0.2934,2
0.3173,-0.07705,-0.2946,2
0.558,0.3212,0.05603,2
0.1964,0.4349,0.3297,2
-0.4194,-0.1406,0.2356,2
-0.395,-0.3299,-0.1761,2
0.03753,-0.1565,-0.3447,2
0.5079,0.2418,-0.09791,2
0.4224,0.5436,0.2527,2
-0.2215,0.04146,0.2833,2
-0.6723,-0.319,-0.02339,2
-0.8238,-0.2432,-0.2665,2
-0.8995,0.06101,-0.1456,2
-0.8262,0.3945,0.1977,2
-0.3632,0.3347,0.4115,2
-0.5843,-0.2481,0.2491,2
-0.9081,-0.1662,-0.07714,2
-1.034,0.002363,-0.1981,2
-1.262,0.3139,-0.03683,2
-1.768,0.3689,0.2918,2
-2.429,-0.253,0.3566,2
-2.67,-0.3678,0.07313,2
-2.385,0.02191,-0.1932,2
-1.865,0.1856,-0.1333,2
-0.9276,0.3701,0.1342,2
-0.2386,0.04635,0.3725,2
-0.4487,-0.4521,0.1758,2
-0.4805,-0.1076,-0.1847,2
-0.5807,0.1025,-0.3117,2
-0.406,0.2687,-0.09058,2
0.2367,0.3066,0.3004,2
0.3967,-0.4057,0.2686,2
0.3601,-0.2835,-0.1272,2
0.1951,0.105,-0.3765,2
-0.2557,0.2418,-0.2421,2
-0.5831,0.3383,0.1122,2
-0.4841,-0.2456,0.2429,2
-0.2581,-0.4961,-0.03683,2
0.2526,-0.00008055,-0.3508,2
0.3515,0.1233,-0.3215,2
0.2868,0.3188,-0.006283,2
0.3808,0.1355,0.3138,2
0.4468,-0.534,0.1892,2
0.6166,-0.2188,-0.2164,2
0.2917,0.03168,-0.3777,2
-0.263,0.1844,-0.1504,2
-0.3962,0.2846,0.2491,2
-0.3033,-0.4167,0.3101,2
0.07052,-0.4033,-0.0185,2
0.3796,0.09277,-0.3215,2
0.1988,0.1978,-0.2286,2
-0.06265,0.3579,0.1281,2
-0.02111,0.04757,0.4519,2
0.09495,-0.4729,0.2894,2
0.5152,-0.05995,-0.148,2
0.3503,0.09888,-0.3716,2
-0.1017,0.2504,-0.1895,2
