gyro_x,gyro_y,gyro_z,activity
0.211,0.2699,-0.05027,4
-0.1922,-0.3385,-0.1419,4
-0.1543,-0.3788,-0.1517,4
0.1878,0.1551,0.02915,4
0.2196,0.3506,0.04381,4
-0.1604,-0.1723,-0.09425,4
-0.2093,-0.5376,-0.1871,4
0.2086,-0.1467,0.01571,4
0.4566,0.4862,0.2173,4
0.1084,0.3554,0.06213,4
-0.2948,-0.4081,-0.1052,4
-0.2105,-0.5132,-0.1407,4
0.2831,0.116,0.1025,4
0.4627,0.5106,0.177,4
-0.07853,0.07322,0.009599,4
-0.4316,-0.4533,-0.1346,4
-0.08464,-0.1601,-0.00384,4
0.4126,0.4752,0.2955,4
0.2574,0.5949,0.2674,4
0.06319,0.07933,0.2613,4
0.9013,0.6633,0.3602,4
0.01554,0.32,0.2674,4
-0.9948,0.3835,0.4018,4
-1.232,0.8441,0.9088,4
-1.067,1.374,1.418,4
-1.262,1.446,1.65,4
-1.259,1.663,1.624,4
-1.328,1.872,1.696,4
-1.641,2.308,2.079,4
-1.464,2.492,2.361,4
-1.509,2.217,2.266,4
-1.268,2.067,1.909,4
-1.327,2.089,1.655,4
-1.716,2.117,1.678,4
-2.237,1.57,1.693,4
-2.265,1.173,1.407,4
-1.692,1.113,1.041,4
-1.233,1.212,0.8538,4
-1.1,0.6804,0.7573,4
-1.008,0.3909,0.5154,4
-0.869,0.3567,0.155,4
-0.7981,0.5363,0.07557,4
-0.6027,0.452,0.2197,4
-0.4732,0.1416,0.1904,4
-0.3461,0.1184,-0.0857,4
-0.5452,0.2223,-0.1908,4
-0.4426,0.4239,0.01693,4
-0.08098,0.1734,0.1513,4
0.2147,0.105,-0.04049,4
0.01554,0.02924,-0.2372,4
-0.3253,0.1123,-0.1223,4
-0.03211,0.1331,0.1134,4
0.1744,-0.1027,0.06336,4
0.1988,-0.1491,-0.2176,4
-0.3253,-0.1125,-0.2909,4
-0.3229,0.2149,-0.06126,4
0.04608,-0.01352,0.1037,4
0.3735,-0.1332,-0.1065,4
0.03142,0.03779,-0.2812,4
-0.4573,0.1758,-0.06248,4
-0.2679,-0.253,0.1306,4
0.2965,-0.1284,-0.06981,4
0.1695,0.2223,-0.1651,4
-0.3583,0.1514,0.04381,4
-0.3058,-0.2664,0.07924,4
0.233,0.01336,-0.1749,4
0.08274,0.3261,-0.1443,4
-0.2948,-0.03795,0.08168,4
-0.08831,-0.2456,0.02793,4
0.2782,0.1465,-0.1981,4
-0.0822,0.3677,-0.08325,4
-0.1812,-0.165,0.122,4
0.2379,-0.176,-0.0466,4
0.1915,0.2052,-0.1627,4
-0.2936,0.2614,0.02793,4
-0.329,-0.3214,0.1501,4
0.1988,-0.1247,-0.1016,4
0.01187,0.2345,-0.1358,4
-0.395,0.1209,0.1147,4
-0.2093,-0.2591,0.1587,4
0.2721,0.08422,-0.1187,4
-0.1042,0.3506,-0.06126,4
-0.3803,-0.01352,0.1733,4
0.05952,-0.1797,0.07557,4
0.3796,0.1514,-0.1883,4
-0.08342,0.3127,-0.06737,4
-0.2251,-0.2212,0.133,4
0.2086,-0.2725,-0.03683,4
0.2648,0.1258,-0.2042,4
0.004545,0.2333,-0.03683,4
-0.1567,-0.3519,0.1098,4
0.2049,-0.1455,-0.1248,4
0.07174,0.2345,-0.1419,4
-0.2203,-0.03185,0.07924,4
-0.02844,-0.2786,0.04014,4
0.266,0.02558,-0.2262,4
-0.06754,0.2223,-0.137,4
-0.1665,-0.1711,0.03648,4
0.2122,-0.2884,-0.1407,4
0.3124,-0.07094,-0.3581,4
0.255,-0.01718,-0.2909,4
1.174,-0.253,-0.1908,4
1.215,-0.672,-0.0747,4
2.163,-0.6867,-0.2286,4
2.228,-0.1479,-0.2482,4
1.529,-0.3568,-0.1016,4
0.762,-0.6195,-0.01972,4
0.7449,-0.4607,-0.1529,4
1.08,0.1294,-0.1004,4
0.2232,-0.3605,0.08412,4
-0.04432,-0.5621,0.0267,4
0.2672,-0.2774,-0.1663,4
0.5739,0.2247,-0.1272,4
-0.1384,-0.2957,0.06091,4
-0.136,-0.4595,-0.03438,4
0.5824,0.004806,-0.2213,4
0.5629,0.2186,-0.1297,4
0.2807,-0.2127,0.06946,4
0.729,-0.3348,-0.07226,4
1.334,0.1673,-0.1847,4
0.9245,-0.02207,0.001047,4
0.1841,-0.2664,0.122,4
0.04975,-0.253,-0.06004,4
0.3698,0.3322,-0.09547,4
-0.2581,-0.03307,0.1061,4
-0.2813,-0.2884,0.1073,4
0.2245,-0.02207,-0.08936,4
0.2965,0.4385,-0.05393,4
-0.3998,-0.1003,0.1428,4
-0.3644,-0.2823,0.05725,4
0.437,0.2626,-0.07714,4
0.4334,0.353,0.004712,4
-0.1213,-0.05261,0.09268,4
-0.1616,-0.2371,-0.1004,4
