gyro_x,gyro_y,gyro_z,activity
-0.2349,-0.1858,-0.1407,6
0.09129,0.1245,-0.1541,6
0.002101,0.04879,-0.1602,6
-0.2264,0.004806,-0.148,6
-0.1091,0.06223,-0.08325,6
-0.05532,0.07078,-0.03927,6
-0.1433,0.09766,-0.04294,6
-0.1201,0.138,-0.00384,6
-0.08709,0.1636,0.07313,6
-0.1897,0.2308,0.0548,6
-0.3021,0.3774,0.01204,6
-0.5575,0.5656,0.4091,6
-0.9851,0.9272,0.6852,6
-1.499,1.272,0.9625,6
-1.79,1.51,1.283,6
-1.844,1.721,1.586,6
-2.248,1.812,1.839,6
-2.28,1.741,2.05,6
-2.006,1.721,2.188,6
-1.97,1.613,2.177,6
-2.01,1.504,2.038,6
-2.16,1.466,1.914,6
-2.046,1.358,1.842,6
-1.725,1.252,1.736,6
-0.5171,0.8075,0.7023,6
-0.2972,0.7049,0.3993,6
-0.3815,0.6401,0.199,6
-0.4964,0.5692,0.1,6
-0.4255,0.5179,0.01693,6
-0.2215,0.5509,-0.05027,6
-0.1176,0.4776,-0.06004,6
-0.01989,0.4239,0.01326,6
0.03753,0.3225,0.09879,6
0.1169,0.2076,0.1257,6
0.1011,0.1368,0.09268,6
0.005766,0.08911,0.04381,6
0.01065,0.06589,-0.001396,6
0.07418,0.03535,-0.03805,6
0.1304,0.03168,-0.04904,6
0.1695,-0.004967,-0.03194,6
0.2306,-0.02207,-0.007505,6
0.2012,-0.03551,-0.001396,6
0.1915,-0.04406,-0.009948,6
0.2196,-0.01352,-0.0185,6
0.1817,-0.007411,-0.0185,6
0.1328,-0.003746,-0.0295,6
0.1573,-0.02207,-0.03194,6
0.167,-0.05017,-0.009948,6
0.09862,-0.08927,0.01326,6
0.03264,-0.09782,-0.008727,6
0.0131,-0.0966,-0.03194,6
0.01432,-0.07461,-0.06004,6
-0.001564,-0.04895,-0.07959,6
-0.008894,-0.05017,-0.08936,6
-0.07365,-0.07094,-0.1138,6
-0.1164,-0.1039,-0.1395,6
0.03264,-0.1137,-0.1578,6
0.1267,-0.1455,-0.1883,6
0.1255,-0.2163,-0.2433,6
0.1854,-0.1894,-0.2738,6
0.2452,-0.08071,-0.1969,6
0.2843,-0.2163,-0.1052,6
0.492,-0.3263,-0.2286,6
0.6606,-0.3336,-0.4229,6
0.4346,-0.2737,-0.4107,6
0.0008794,-0.03918,-0.1737,6
-0.2569,-0.4252,0.01449,6
-0.1152,-0.6513,-0.2103,6
0.5739,-0.3837,-0.5671,6
0.7486,0.08055,-0.4779,6
0.3075,-0.3116,-0.1077,6
-0.3009,-0.7429,-0.02094,6
0.1878,-0.2078,-0.3081,6
0.9416,0.3078,-0.2738,6
0.5665,-0.5218,-0.06126,6
0.2086,-0.1699,-0.0295,6
0.5177,0.3212,-0.03316,6
0.0754,-0.6171,-0.06248,6
0.3821,0.1343,-0.06615,6
0.4041,0.1587,-0.0576,6
-0.2007,-0.3446,0.02548,6
0.2281,0.7757,0.1868,6
-0.3974,-0.2762,0.155,6
-0.2667,0.441,0.2258,6
0.02898,0.474,0.2686,6
-0.7334,-0.2518,0.2552,6
-0.1714,0.8502,0.3602,6
-0.8018,-0.3495,0.2258,6
-0.7016,0.3542,0.2808,6
-0.4426,0.1368,0.232,6
-0.6381,-0.1943,0.2063,6
-0.2141,0.6499,0.2759,6
-0.5074,-0.2481,0.1574,6
-0.3669,0.5741,0.2527,6
-0.395,0.07933,0.1403,6
-0.4377,0.07322,0.1391,6
-0.015,0.6035,0.155,6
-0.3766,-0.2334,0.07435,6
-0.04555,0.6902,0.111,6
-0.1958,-0.2102,-0.008727,6
-0.1787,0.1868,-0.006283,6
0.1683,0.3017,-0.04538,6
-0.1042,-0.402,-0.1468,6
0.1512,0.5338,-0.1504,6
0.08884,-0.4985,-0.258,6
0.2171,0.1416,-0.2152,6
0.4566,-0.08682,-0.2409,6
0.2697,-0.4228,-0.2824,6
0.6521,0.3945,-0.2018,6
0.3405,-0.6794,-0.2738,6
0.6521,0.1966,-0.247,6
0.5299,-0.3861,-0.2665,6
0.4847,-0.3483,-0.2702,6
0.8084,0.2553,-0.1993,6
0.3808,-0.6904,-0.2372,6
0.7962,0.2736,-0.1798,6
0.426,-0.6109,-0.2347,6
0.343,-0.3373,-0.2189,6
0.525,-0.08194,-0.2103,6
0.003323,-0.7026,-0.2042,6
0.3369,0.1258,-0.1248,6
0.05219,-0.6769,-0.1712,6
0.31,-0.1174,-0.1285,6
0.4859,-0.2737,-0.1236,6
0.2049,-0.4863,-0.1162,6
0.4883,0.1783,-0.04049,6
-0.1335,-0.5865,-0.04904,6
0.07174,0.2357,0.06458,6
0.04608,-0.2408,0.1025,6
-0.1091,-0.1504,0.1244,6
0.3918,0.2638,0.1354,6
0.3735,-0.4057,0.03037,6
0.8732,0.397,0.09512,6
0.6789,-0.2896,0.01571,6
0.3869,0.0268,-0.009948,6
0.211,0.072,-0.06737,6
0.003323,-0.4301,-0.1028,6
0.7901,0.2479,-0.02094,6
0.4798,-0.4179,-0.04538,6
0.6863,0.08788,0.0377,6
0.6875,-0.1137,0.07191,6
0.1854,-0.2615,0.1061,6
0.3246,0.3567,0.1232,6
-0.1885,-0.3434,0.07679,6
0.2831,0.2992,0.09023,6
-0.1225,-0.1577,0.03526,6
-0.3082,-0.08438,0.04503,6
0.1621,0.4043,0.04259,6
-0.4964,-0.3055,0.03403,6
0.1365,0.4214,0.05114,6
-0.3143,-0.2664,-0.01484,6
-0.1408,0.02802,0.002269,6
0.354,0.2076,0.005934,6
