gyro_x,gyro_y,gyro_z,activity
-0.1054,-0.03673,-0.02217,5
0.08029,0.03168,-0.0001745,5
0.1793,0.07689,-0.06248,5
0.03631,0.04635,-0.05271,5
-0.005229,0.0158,-0.006283,5
-0.01134,0.01825,-0.006283,5
-0.03577,0.03046,-0.02461,5
-0.06998,0.07078,-0.01972,5
-0.1396,0.03291,0.2759,5
0.009431,0.06834,0.1941,5
-0.02966,0.01092,0.1574,5
-0.2056,0.0268,0.2332,5
-0.3265,0.1258,0.2979,5
-0.6393,0.2455,0.3761,5
-0.7603,0.4349,0.48,5
-0.6894,0.6719,0.5948,5
-0.4402,0.8942,0.6889,5
0.02165,1.08,0.7268,5
0.4297,1.283,0.7512,5
0.2012,1.396,0.7426,5
-0.3253,1.4,0.7683,5
-0.3632,1.46,0.8392,5
-0.4243,1.495,0.8819,5
-0.489,1.531,0.8575,5
-0.5257,1.525,0.7451,5
-0.5501,1.423,0.618,5
-0.4744,1.29,0.5166,5
-0.5648,1.106,0.4177,5
-0.5856,0.893,0.3211,5
-0.5342,0.7036,0.2368,5
-0.3791,0.5143,0.1623,5
-0.2276,0.3982,0.1159,5
-0.01134,0.3774,0.1134,5
-0.09197,0.3115,0.122,5
-0.2239,0.243,0.1025,5
-0.2007,0.1844,0.0548,5
-0.1726,0.1184,0.02426,5
-0.2031,0.07322,0.02304,5
-0.2691,0.05978,0.03892,5
-0.3608,0.08666,0.05725,5
-0.3986,0.2113,0.07802,5
-0.5477,0.2235,0.09512,5
-0.5733,0.2149,0.1122,5
-0.3876,0.2259,0.1122,5
-0.3143,0.2406,0.1159,5
-0.3632,0.2553,0.1171,5
-0.2936,0.2626,0.1037,5
-0.1628,0.2516,0.07435,5
-0.05899,0.2149,0.04747,5
-0.1567,0.1233,0.01082,5
-0.23,0.08911,-0.002618,5
-0.1946,0.1685,0.02793,5
-0.1873,0.1013,0.0267,5
-0.0712,-0.01841,-0.1211,5
-0.09075,-0.1846,-0.2922,5
-0.3436,-0.1479,-0.269,5
-0.3058,0.1441,-0.1004,5
-0.1482,0.05856,0.02915,5
0.01921,-0.03429,-0.02094,5
-0.2826,-0.03795,-0.07714,5
-0.5403,0.2418,0.02915,5
-0.406,0.03168,0.1,5
-0.02966,-0.08071,-0.04782,5
-0.1494,0.1673,-0.09547,5
-0.2557,0.1991,0.01693,5
-0.2374,-0.1858,0.05114,5
-0.02722,0.03046,-0.08081,5
0.1573,0.2247,-0.04538,5
-0.05043,-0.2725,0.03281,5
0.01187,-0.06483,-0.0857,5
0.134,0.04268,-0.137,5
0.178,-0.3898,-0.1175,5
0.365,-0.1589,-0.1737,5
0.7058,-0.09049,-0.1773,5
0.5617,-0.4607,-0.1272,5
0.6484,-0.297,-0.192,5
0.4358,-0.3348,-0.2531,5
0.2672,-0.65,-0.2482,5
0.696,-0.2261,-0.1993,5
0.2074,-0.3006,-0.1443,5
0.04731,-0.4509,-0.08814,5
0.2868,0.02924,-0.09058,5
-0.1445,-0.2175,-0.03438,5
-0.08098,-0.3067,-0.03683,5
0.3967,0.243,-0.06126,5
-0.1335,-0.2628,0.05603,5
-0.1421,-0.3043,0.007156,5
0.255,0.2382,-0.04416,5
-0.2826,-0.3544,0.0267,5
-0.1482,-0.3067,-0.0001745,5
0.3307,0.2601,-0.0356,5
-0.3375,-0.4289,0.0377,5
-0.08342,-0.2542,-0.01117,5
0.3857,0.2711,-0.09058,5
-0.3436,-0.5609,-0.04416,5
0.1744,-0.2212,-0.1162,5
0.3906,0.2394,-0.126,5
-0.4157,-0.4656,0.01204,5
-0.1042,-0.008633,-0.01117,5
-0.09319,0.3444,0.009599,5
-0.6161,-0.3861,0.08779,5
0.1121,0.1404,-0.01728,5
0.2672,0.3554,-0.04538,5
-0.1836,-0.4167,0.01815,5
0.4224,0.2039,-0.03927,5
0.2428,0.2565,-0.03805,5
-0.3327,-0.3984,0.01815,5
0.2648,0.265,-0.0185,5
0.1133,0.2296,-0.00384,5
-0.4316,-0.3544,0.06213,5
0.2232,0.4153,0.04869,5
-0.06998,0.083,0.04503,5
-0.3901,-0.319,0.06213,5
0.3576,0.4483,0.02059,5
-0.0712,-0.05995,0.009599,5
-0.3314,-0.358,0.01571,5
0.3711,0.3799,-0.02583,5
-0.09808,-0.176,-0.01972,5
-0.2948,-0.3348,-0.002618,5
0.3185,0.4568,0.001047,5
-0.2948,-0.2359,0.03281,5
-0.384,-0.2518,0.03159,5
0.415,0.5815,-0.001396,5
-0.2141,-0.3299,0.01937,5
-0.2557,-0.2163,-0.0001745,5
0.4615,0.5986,-0.01606,5
-0.2655,-0.4045,0.04625,5
-0.1714,-0.1613,0.009599,5
0.492,0.5998,-0.01239,5
-0.3094,-0.4924,0.04381,5
-0.1237,-0.1271,-0.001396,5
0.448,0.5424,-0.01606,5
-0.3204,-0.5157,0.06091,5
0.00821,-0.03918,0.02182,5
0.448,0.4911,-0.0001745,5
-0.3461,-0.5157,0.05358,5
0.03264,0.03535,-0.008727,5
0.343,0.4605,-0.02339,5
-0.3681,-0.4595,0.05725,5
0.1231,0.1746,0.008378,5
0.2513,0.4153,0.008378,5
-0.4377,-0.4216,0.07069,5
0.1292,0.2577,0.007156,5
0.1939,0.3579,0.01082,5
-0.3754,-0.3764,0.0658,5
0.2416,0.3518,0.007156,5
0.07663,0.1991,0.01082,5
-0.4463,-0.3752,0.06458,5
0.0974,0.4031,0.02548,5
-0.4622,0.05001,0.02548,5
-1.531,-0.3544,0.05236,5
-1.609,0.4336,0.01082,5
-1.937,0.01214,-0.01484,5
-2.318,-0.4375,0.05969,5
-1.397,0.5057,0.08657,5
-1.215,-0.03429,0.04992,5
-1.597,-0.4607,0.08046,5
-0.968,0.5253,0.1196,5
-1.128,-0.198,0.1171,5
-1.507,-0.4448,0.08168,5
-0.8213,0.474,0.04747,5
-0.9069,-0.3385,0.01571,5
-1.009,-0.3739,-0.05637,5
-0.1176,0.4752,-0.05393,5
-0.03944,-0.3202,0.01937,5
0.1512,-0.242,0.01571,5
0.9697,0.5448,0.07069,5
0.6337,-0.4179,0.07557,5
0.3857,-0.2432,-0.01972,5
0.6753,0.5045,-0.01728,5
0.1011,-0.479,0.005934,5
-0.1689,-0.2139,-0.02461,5
0.2721,0.5302,0.008378,5
-0.1873,-0.4839,0.05725,5
-0.08953,-0.1381,0.008378,5
0.4602,0.546,0.002269,5
-0.026,-0.457,0.04259,5
0.08151,-0.05261,0.009599,5
0.6411,0.5534,0.005934,5
0.2452,-0.4252,0.03403,5
0.3051,0.03413,-0.01972,5
0.3845,0.4361,-0.03194,5
-0.3791,-0.5401,0.01571,5
-0.2056,0.01458,-0.02217,5
0.189,0.3921,-0.04049,5
-0.2765,-0.4668,0.003491,5
-0.004008,0.1502,-0.02094,5
0.2623,0.3811,-0.02217,5
-0.3058,-0.4643,0.009599,5
0.04608,0.2235,-0.02827,5
0.2,0.2858,-0.04416,5
-0.307,-0.4436,-0.005061,5
0.1414,0.2992,-0.02461,5
0.2513,0.1758,-0.0185,5
-0.2031,-0.424,-0.005061,5
0.255,0.3603,-0.03927,5
0.2159,-0.01108,-0.03805,5
-0.1799,-0.4179,-0.03438,5
0.2733,0.3848,-0.06493,5
0.1035,-0.09171,-0.04538,5
-0.1799,-0.3312,0.003491,5
0.3222,0.4678,0.007156,5
-0.01378,-0.2518,0.02059,5
-0.2166,-0.3275,-0.0295,5
0.3161,0.4837,-0.1028,5
-0.05776,-0.2799,-0.02583,5
-0.1946,-0.2518,0.03281,5
0.3198,0.5143,0.02426,5
-0.1347,-0.3238,0.05725,5
-0.2227,-0.2004,0.02182,5
0.2526,0.5216,-0.03438,5
-0.2374,-0.3507,0.03037,5
-0.1653,-0.132,0.0267,5
0.343,0.5204,-0.02094,5
-0.2593,-0.3813,0.04136,5
-0.04921,-0.08316,0.02182,5
0.3747,0.4654,-0.02339,5
-0.3143,-0.4289,0.04136,5
-0.1787,-0.07949,-0.002618,5
0.2293,0.4178,-0.04171,5
-0.3204,-0.413,0.03526,5
-0.08464,0.02435,0.02304,5
0.3149,0.4483,0.004712,5
-0.2679,-0.3996,0.06091,5
0.05708,0.105,0.02182,5
0.3527,0.3921,-0.001396,5
-0.2642,-0.4362,0.04869,5
0.1512,0.171,-0.0185,5
0.3698,0.331,-0.0185,5
-0.1897,-0.4094,0.05603,5
0.1353,0.2039,0.007156,5
0.2794,0.2357,0.003491,5
-0.2203,-0.4081,0.03037,5
0.1011,0.2663,-0.02827,5
0.1902,0.1673,-0.0356,5
-0.1934,-0.3642,-0.0001745,5
0.2391,0.3652,-0.03683,5
0.1719,0.08422,-0.03805,5
-0.2031,-0.3519,-0.006283,5
0.2721,0.4165,-0.04538,5
0.09129,-0.05995,-0.03927,5
-0.2019,-0.3471,-0.005061,5
0.3198,0.4153,-0.05271,5
0.02898,-0.1833,-0.02339,5
-0.2508,-0.3556,-0.005061,5
0.2269,0.4214,-0.04416,5
-0.1372,-0.3373,-0.02217,5
-0.263,-0.2872,-0.02583,5
0.2562,0.4691,-0.04904,5
-0.1518,-0.3666,0.01693,5
-0.1665,-0.1797,-0.002618,5
0.3295,0.4825,-0.04538,5
-0.2166,-0.3935,0.02793,5
-0.1127,-0.08805,0.01449,5
0.3124,0.4507,-0.006283,5
-0.2422,-0.4216,0.07802,5
-0.0541,-0.01474,0.01937,5
0.3393,0.3982,-0.008727,5
-0.2178,-0.4314,0.06458,5
-0.01867,0.06589,0.01326,5
0.3014,0.3725,-0.00384,5
-0.1946,-0.3898,0.07069,5
0.09129,0.1917,0.008378,5
0.266,0.3261,-0.01484,5
-0.2972,-0.4069,0.04503,5
0.06074,0.2345,-0.0185,5
0.1646,0.2626,-0.02705,5
-0.329,-0.3947,0.04136,5
0.1292,0.3078,0.002269,5
0.1573,0.1661,0.007156,5
-0.3241,-0.3813,0.03648,5
0.211,0.3872,-0.03194,5
0.1707,0.06101,-0.01728,5
-0.2618,-0.369,0.01082,5
0.2318,0.4104,-0.06004,5
0.01798,-0.09904,-0.04904,5
-0.3241,-0.3886,-0.0295,5
0.2318,0.4129,-0.08936,5
-0.07242,-0.2017,-0.04049,5
-0.3021,-0.3495,-0.002618,5
0.299,0.4813,-0.04294,5
-0.09075,-0.2713,0.02059,5
-0.2264,-0.2774,0.03037,5
0.3442,0.5106,-0.03316,5
-0.1408,-0.3238,0.03403,5
-0.23,-0.2371,0.03037,5
0.3149,0.4947,-0.03194,5
-0.2105,-0.3776,0.03892,5
-0.175,-0.1723,0.01937,5
0.3259,0.4984,-0.02217,5
-0.2655,-0.3984,0.07435,5
-0.06632,-0.07827,0.05358,5
0.4138,0.5106,0.01693,5
-0.2532,-0.4081,0.0939,5
-0.04921,-0.008633,0.0377,5
0.3918,0.474,-0.001396,5
-0.2618,-0.4314,0.06213,5
-0.007673,0.05734,0.007156,5
0.3259,0.4263,-0.00384,5
-0.2972,-0.4216,0.08168,5
-0.026,0.1148,0.02426,5
0.2342,0.3835,-0.002618,5
-0.2007,-0.3727,0.07557,5
0.1817,0.2247,0.02426,5
0.2012,0.2846,-0.02705,5
-0.3522,-0.4546,-0.006283,5
0.156,0.2589,-0.05882,5
0.1512,0.2223,-0.05027,5
-0.3412,-0.4375,0.01204,5
0.2,0.3237,-0.02094,5
0.1035,0.138,-0.01972,5
-0.3278,-0.3923,0.009599,5
0.2489,0.3787,-0.03805,5
0.09007,0.03046,-0.02339,5
-0.2557,-0.3923,0.003491,5
0.3124,0.4104,-0.05637,5
-0.01867,-0.121,-0.0356,5
-0.2679,-0.3825,-0.01117,5
0.2965,0.4031,-0.0576,5
-0.0431,-0.198,-0.007505,5
-0.2288,-0.3324,0.02182,5
0.31,0.4471,-0.0295,5
-0.1482,-0.2872,0.002269,5
-0.2007,-0.2799,-0.00384,5
0.3259,0.4886,-0.05515,5
-0.2593,-0.3666,0.02304,5
-0.1225,-0.2078,0.02426,5
0.4065,0.4996,-0.01239,5
-0.3021,-0.4069,0.07435,5
-0.1445,-0.1626,0.02915,5
0.3479,0.4691,-0.0295,5
-0.2874,-0.4167,0.04747,5
-0.0822,-0.07338,0.004712,5
0.3332,0.4605,-0.03438,5
-0.3021,-0.4118,0.04381,5
-0.04432,0.006028,-0.00384,5
0.2843,0.4239,-0.03438,5
-0.3742,-0.4375,0.04625,5
-0.008894,0.09399,0.003491,5
0.2562,0.3701,-0.02094,5
-0.3302,-0.4265,0.03892,5
0.1084,0.1881,-0.00384,5
0.2196,0.2968,-0.009948,5
-0.34,-0.4216,0.04625,5
0.1365,0.2443,-0.01728,5
0.1841,0.2125,-0.0185,5
-0.307,-0.3984,0.0267,5
0.1841,0.3127,-0.02339,5
