gyro_x,gyro_y,gyro_z,activity
-0.06387,0.09644,0.1134,7
0.7058,0.4141,-0.05393,7
-0.007673,0.08544,-0.2164,7
0.3943,0.2296,-0.06737,7
-0.2874,-0.1332,-0.06859,7
0.2965,0.2088,-0.03683,7
-0.1909,-0.1345,0.009599,7
0.3454,0.2528,-0.04294,7
-0.1054,-0.1516,-0.04538,7
0.2807,0.254,-0.1761,7
0.05341,-0.1467,-0.06615,7
0.1597,0.1661,-0.1602,7
0.1218,-0.09049,-0.01606,7
-0.05899,0.07933,-0.08203,7
0.1902,0.008472,-0.005061,7
-0.2166,0.002363,-0.07103,7
0.2245,0.1624,-0.06615,7
-0.373,-0.08316,-0.1004,7
0.2953,0.3017,-0.1944,7
-0.2826,-0.09782,-0.006283,7
0.3479,0.3322,-0.1908,7
-0.5245,-0.22,0.491,7
0.1915,0.5008,0.5765,7
-0.5807,0.4116,0.7854,7
-0.3217,1.271,1.055,7
-0.8433,1.08,1.262,7
-0.7004,1.946,1.467,7
-1.668,1.748,1.479,7
-2.243,2.421,1.644,7
-2.114,2.231,1.689,7
-1.226,2.8,1.765,7
-1.497,2.183,1.678,7
-1.301,2.762,1.782,7
-3.542,1.338,1.702,7
-3.615,1.532,1.744,7
-1.828,0.4153,1.426,7
-0.8641,1.378,1.247,7
-0.4939,0.3982,0.8172,7
-0.3339,0.8771,0.6547,7
0.05219,0.3506,0.2845,7
-0.2496,0.3115,0.06946,7
0.4456,0.4239,-0.1223,7
0.1047,0.04024,-0.3154,7
0.4737,0.678,-0.2665,7
-0.2667,-0.231,-0.08203,7
0.006988,0.733,0.188,7
-0.6613,-0.435,0.2246,7
0.222,0.7268,0.1745,7
-0.1189,-0.4876,-0.0857,7
0.4639,0.5839,-0.02461,7
0.1292,-0.5364,-0.1382,7
0.4199,0.4947,0.02304,7
0.156,-0.4582,-0.03438,7
0.2306,0.3029,0.06091,7
0.1902,-0.3226,-0.1077,7
0.1683,0.04268,-0.01972,7
0.3075,-0.07583,-0.1676,7
0.03387,-0.2432,-0.1297,7
0.4016,0.04024,-0.2445,7
0.03997,-0.5865,-0.2372,7
0.5042,-0.0685,-0.2873,7
0.2342,-0.997,-0.3239,7
0.7229,-0.05872,-0.2628,7
0.2965,-1.037,-0.2519,7
0.7376,0.2174,-0.1346,7
0.156,-0.8113,-0.1517,7
0.6704,0.4776,-0.01728,7
-0.02356,-0.6366,-0.08081,7
0.7156,0.4691,0.0548,7
0.2416,-0.4888,-0.0918,7
0.8512,0.2296,-0.0918,7
0.4749,-0.3703,-0.1395,7
0.5482,-0.1357,-0.0918,7
0.4346,-0.0966,-0.1541,7
0.1157,-0.3898,-0.09058,7
0.4981,0.2699,-0.09547,7
-0.1323,-0.4216,-0.02705,7
0.4578,0.557,0.008378,7
-0.3962,-0.4436,0.007156,7
0.3906,0.667,0.03159,7
-0.3412,-0.512,-0.005061,7
0.4554,0.5876,0.003491,7
-0.2703,-0.5352,-0.01728,7
0.3686,0.4984,0.04747,7
-0.3986,-0.4961,0.01571,7
0.07296,0.3616,0.06213,7
-0.2239,-0.319,0.02304,7
-0.008894,0.1306,0.05725,7
-0.1201,-0.05017,0.03648,7
-0.3229,-0.1552,0.07557,7
0.1292,0.3567,0.04381,7
-0.5013,-0.3752,0.06824,7
0.3393,0.6853,0.05114,7
-0.5807,-0.5535,0.04625,7
0.5421,0.8649,0.07435,7
-0.6234,-0.6842,0.04747,7
0.4896,0.8576,0.1,7
-0.7016,-0.7331,0.03892,7
0.4163,0.7574,0.1025,7
-0.533,-0.6598,0.01937,7
0.2599,0.5326,0.07924,7
-0.4133,-0.5047,-0.01239,7
0.02165,0.1917,0.07069,7
-0.1482,-0.2432,-0.02461,7
-0.1372,-0.1027,0.01326,7
0.1084,0.09766,-0.03438,7
-0.2813,-0.3409,-0.008727,7
0.4004,0.4703,-0.03072,7
-0.3889,-0.5071,0.004712,7
0.5836,0.7415,0.01937,7
-0.511,-0.6549,0.04014,7
0.6777,0.871,0.07557,7
-0.5733,-0.7551,0.05236,7
0.624,0.838,0.111,7
-0.5868,-0.8113,0.03403,7
0.492,0.6694,0.08168,7
-0.4402,-0.7111,-0.03072,7
0.3088,0.419,0.02793,7
-0.2264,-0.4985,-0.05149,7
0.08151,0.1135,0.001047,7
0.04242,-0.1589,-0.04538,7
-0.1628,-0.1956,-0.0185,7
0.3356,0.2711,-0.04782,7
-0.3339,-0.3971,-0.002618,7
0.6056,0.6291,-0.01239,7
-0.3656,-0.6073,-0.02094,7
0.828,0.8087,0.01815,7
-0.4267,-0.7246,0.01693,7
0.6374,0.8307,0.08535,7
-0.6075,-0.7661,0.003491,7
0.4566,0.7256,0.05847,7
-0.4719,-0.7026,-0.0185,7
0.2978,0.4947,0.03037,7
-0.2459,-0.5218,-0.00384,7
0.1414,0.2149,0.01571,7
-0.01378,-0.3055,-0.03194,7
-0.006451,-0.07216,-0.02094,7
0.2074,0.02924,-0.0356,7
-0.1763,-0.2579,0.01937,7
0.3246,0.3774,0.02548,7
-0.3937,-0.3874,0.05114,7
0.4431,0.689,0.06458,7
-0.5098,-0.523,0.04747,7
0.5384,0.8234,0.06336,7
-0.5184,-0.6378,0.01204,7
0.5177,0.7953,0.07069,7
-0.4829,-0.7148,-0.006283,7
0.4041,0.601,0.03526,7
-0.34,-0.6635,-0.01361,7
0.2355,0.3408,-0.001396,7
-0.1543,-0.468,-0.0185,7
0.05219,0.03535,-0.02461,7
0.1047,-0.1113,-0.04294,7
-0.1763,-0.2163,-0.0001745,7
0.31,0.3347,-0.009948,7
-0.4829,-0.3678,0.02793,7
0.1915,0.6939,0.0267,7
-1.266,-0.4802,0.04992,7
-1.112,1.079,0.1379,7
-2.72,-0.6122,0.1721,7
-2.141,1.186,0.3358,7
-3.068,-0.5389,0.2503,7
-2.797,0.8881,0.3908,7
-3.124,-0.4766,0.2148,7
-3.046,0.3298,0.2723,7
-2.567,-0.4069,0.09879,7
-3.13,0.01336,0.05847,7
-3.013,-0.2041,-0.03683,7
-3.045,-0.1589,0.01082,7
-1.607,0.2528,0.0939,7
-1.034,-0.2078,0.06091,7
0.03387,0.6816,0.1782,7
0.4529,-0.4912,0.09146,7
0.05464,0.7721,0.111,7
0.3711,-0.5401,0.03648,7
0.09007,0.656,0.03892,7
0.5849,-0.4485,0.01449,7
0.2574,0.3677,-0.02705,7
0.4578,-0.2249,-0.06737,7
0.365,0.05001,-0.115,7
0.6631,0.09521,-0.1175,7
0.514,-0.1748,-0.1847,7
0.5898,0.4239,-0.1004,7
0.481,-0.3642,-0.17,7
0.9746,0.6804,-0.01972,7
0.7926,-0.5279,-0.1028,7
