-1.370;+6.000;+8.351
-0.6538;+5.851;+8.533
-0.4598;+5.465;+8.739
-0.5820;+5.154;+8.548
-0.8095;+5.161;+8.550
-0.8622;+5.329;+8.466
-0.9915;+5.542;+8.459
-1.133;+5.748;+8.363
-0.7353;+6.045;+8.280
-0.2611;+5.928;+8.337
-0.4239;+5.365;+8.526
-0.6371;+5.121;+8.617
-0.5604;+5.190;+8.646
-0.6275;+5.343;+8.483
-0.8311;+5.403;+8.327
-0.8119;+5.547;+8.246
-0.6107;+5.655;+8.174
-0.6179;+5.585;+8.090
-0.6395;+5.473;+8.042
-0.6826;+5.396;+8.016
-0.6874;+5.319;+7.956
-0.7928;+5.307;+7.971
-0.7975;+5.257;+8.031
-0.8502;+5.243;+8.133
-0.8550;+5.209;+8.198
-0.8742;+5.197;+8.268
-0.8550;+5.183;+8.361
-0.8239;+5.269;+8.325
-0.8838;+5.370;+8.256
-0.9460;+5.441;+8.193
-0.9532;+5.446;+8.162
-0.9245;+5.554;+8.155
-0.8311;+5.492;+8.095
-0.7880;+5.449;+8.093
-0.7425;+5.434;+8.155
-0.7401;+5.310;+8.189
-0.9293;+5.269;+8.213
-1.030;+5.257;+8.126
-0.9532;+5.209;+8.126
-0.8239;+5.022;+8.222
-0.7017;+4.984;+8.301
-0.6754;+4.962;+8.236
-0.7664;+5.075;+8.078
-0.8622;+5.219;+7.954
-0.9293;+5.305;+7.825
-0.9317;+5.367;+7.817
-0.9293;+5.236;+7.954
-0.7999;+5.073;+8.021
-0.7736;+5.025;+8.042
-0.7161;+4.962;+8.093
-0.7305;+5.080;+8.064
-0.8718;+5.209;+7.992
-0.9628;+5.269;+8.014
-0.8383;+5.473;+8.016
-0.8766;+5.542;+8.059
-0.8215;+5.564;+8.059
-0.8454;+5.616;+8.141
-0.7975;+5.590;+8.169
-0.8263;+5.612;+8.184
-0.8718;+5.626;+8.181
-0.9748;+5.580;+8.256
-1.075;+5.480;+8.301
-1.130;+5.377;+8.421
-1.071;+5.200;+8.526
-1.061;+5.104;+8.665
-1.044;+5.089;+8.603
-1.027;+5.216;+8.478
-1.056;+5.391;+8.375
-1.135;+5.477;+8.234
-1.138;+5.542;+8.234
-1.128;+5.348;+8.289
-1.066;+5.200;+8.368
-1.063;+5.065;+8.500
-1.102;+4.996;+8.538
-1.142;+5.010;+8.591
-1.217;+4.994;+8.493
-1.142;+5.046;+8.392
-1.236;+5.140;+8.373
-1.181;+5.137;+8.332
-1.164;+5.123;+8.311
-1.145;+5.137;+8.294
-1.075;+5.104;+8.280
-1.118;+5.051;+8.251
-1.147;+5.032;+8.347
-1.097;+5.039;+8.332
-1.109;+5.073;+8.313
-1.142;+5.089;+8.366
-1.121;+5.053;+8.299
-1.123;+5.070;+8.260
-1.092;+5.123;+8.299
-1.078;+5.104;+8.280
-1.150;+5.025;+8.280
-1.209;+5.008;+8.304
-1.130;+5.111;+8.277
-1.118;+5.082;+8.316
-1.209;+5.075;+8.280
-1.279;+5.065;+8.335
-1.255;+4.970;+8.327
-1.245;+4.991;+8.349
-1.224;+4.919;+8.397
-1.190;+4.915;+8.426
-1.154;+4.962;+8.414
-1.202;+4.955;+8.438
-1.212;+4.900;+8.423
-1.274;+4.888;+8.423
-1.303;+4.965;+8.407
-1.265;+4.979;+8.418
-1.339;+4.953;+8.428
-1.241;+4.915;+8.407
-1.284;+4.965;+8.502
-1.236;+4.996;+8.495
-1.226;+4.977;+8.517
-1.334;+5.030;+8.462
-1.403;+5.101;+8.474
-1.403;+5.073;+8.395
-1.370;+5.006;+8.440
-1.353;+4.864;+8.483
-1.353;+4.723;+8.577
-1.293;+4.716;+8.569
-1.310;+4.848;+8.486
-1.377;+5.080;+8.313
-1.447;+5.123;+8.224
-1.468;+5.051;+8.203
-1.406;+4.991;+8.313
-1.368;+4.785;+8.294
-1.401;+4.665;+8.363
-1.403;+4.627;+8.368
-1.459;+4.654;+8.368
-1.449;+4.632;+8.292
-1.487;+4.783;+8.191
-1.370;+4.836;+8.174
-1.308;+4.871;+8.224
-1.300;+4.879;+8.260
-1.320;+4.903;+8.272
-1.344;+4.862;+8.248
-1.408;+4.745;+8.224
-1.425;+4.713;+8.327
-1.332;+4.682;+8.526
-1.188;+4.680;+8.562
-1.114;+4.697;+8.612
-1.073;+4.809;+8.574
-1.114;+4.917;+8.486
-1.231;+5.049;+8.335
-1.339;+5.101;+8.335
-1.380;+5.006;+8.390
-1.406;+4.840;+8.591
-1.312;+4.706;+8.682
-1.241;+4.606;+8.814
-1.162;+4.591;+8.838
-1.174;+4.812;+8.756
-1.291;+4.998;+8.778
-1.329;+5.137;+8.524
-1.305;+5.362;+8.378
-1.260;+5.207;+8.471
-1.176;+5.049;+8.452
-1.154;+4.852;+8.426
-1.066;+4.788;+8.438
