gyro_x,gyro_y,gyro_z,activity
-0.00265,-0.3919,-0.1053,0
0.3541,0.3021,0.8757,0
0.5312,0.9459,1.694,0
0.4164,1.529,2.337,0
-0.08939,1.983,2.694,0
0.09998,2.231,2.917,0
0.4103,2.318,2.976,0
0.3602,2.125,2.795,0
0.337,1.823,2.336,0
-0.9849,1.35,1.665,0
-1.642,0.7932,1.014,0
-1.535,0.252,0.4066,0
-1.573,-0.2648,-0.1933,0
-1.193,-0.6814,-0.7724,0
-0.9507,-0.9783,-1.367,0
-1.028,-1.11,-1.942,0
-0.6331,-1.096,-2.452,0
-0.02708,-1.011,-2.819,0
0.6314,-0.905,-3.062,0
1.016,-0.8598,-3.185,0
0.9967,-0.8219,-3.138,0
0.5606,-0.7193,-2.725,0
0.2625,-0.4175,-1.848,0
-0.1676,-0.1097,-0.4731,0
-0.1957,0.263,0.8122,0
-0.1615,0.6942,1.945,0
-0.1041,1.209,2.813,0
0.205,1.772,3.359,0
0.5435,2.243,3.512,0
1.198,2.267,3.375,0
2.057,2.047,2.884,0
1.937,1.756,1.997,0
0.9808,1.256,1.049,0
-0.3227,0.5733,0.3015,0
-0.4913,-0.1023,-0.23,0
-0.2946,-0.7303,-0.7162,0
-0.1664,-1.281,-1.244,0
0.1892,-1.735,-1.727,0
0.7976,-2.104,-2.129,0
1.62,-2.459,-2.395,0
2.377,-3.009,-2.607,0
2.663,-3.176,-2.727,0
3.455,-3.38,-2.672,0
3.482,-3.373,-2.247,0
3,-3.014,-1.696,0
2.04,-2.381,-1.172,0
0.8526,-1.363,-0.6515,0
0.1171,-0.2013,-0.09679,0
-0.6502,0.9374,0.4591,0
-0.831,2.022,1.015,0
-0.9397,2.996,1.411,0
-0.8872,3.786,1.768,0
-0.181,4.456,2.044,0
0.9515,4.425,1.924,0
2.652,4.119,1.572,0
1.807,3.421,0.9637,0
-0.2788,2.518,0.2551,0
-1.078,1.549,-0.2287,0
-0.6538,0.6649,-0.412,0
-0.2934,-0.1341,-0.3827,0
-0.269,-0.9722,-0.4694,0
-0.2433,-1.802,-0.6747,0
-0.1358,-2.59,-0.9202,0
0.1256,-3.263,-1.138,0
0.4775,-3.659,-1.217,0
0.7854,-3.934,-1.201,0
0.7096,-3.974,-1.066,0
0.5936,-3.682,-0.8298,0
0.3907,-3.122,-0.5757,0
0.1574,-2.309,-0.3619,0
0.01445,-1.355,-0.1444,0
-0.06618,-0.2697,0.1121,0
-0.1163,0.7956,0.354,0
-0.2751,1.735,0.6436,0
-0.3606,2.636,1.003,0
-0.4975,3.331,1.395,0
-0.7528,3.806,1.691,0
-1.367,3.944,1.835,0
-1.729,3.862,1.831,0
-3,3.562,1.557,0
-2.38,2.761,1.542,0
-1.713,2.28,1.235,0
-0.9202,1.143,0.6827,0
0.3162,0.241,0.1231,0
0.8208,-0.8696,-0.7907,0
1.364,-1.834,-1.33,0
1.654,-2.785,-1.766,0
1.702,-3.366,-1.95,0
2.063,-3.759,-1.899,0
2.021,-3.899,-1.81,0
1.721,-3.719,-1.647,0
1.339,-3.33,-1.476,0
1.108,-2.755,-1.266,0
0.943,-2.072,-0.985,0
0.6595,-1.284,-0.6392,0
0.2918,-0.3516,-0.2605,0
-0.2055,0.6515,0.1207,0
-0.5158,1.64,0.5263,0
-0.82,2.616,0.9197,0
-1.226,3.439,1.367,0
-1.408,4.083,1.786,0
-1.845,4.361,2.005,0
-1.913,4.555,2.007,0
-2.66,4.198,1.92,0
-1.882,3.286,2.159,0
-1.582,2.531,1.842,0
-0.8078,1.538,1.061,0
0.08043,0.6136,0.1769,0
0.5923,-0.2416,-0.4963,0
0.7133,-0.9074,-0.8249,0
0.8758,-1.61,-1.105,0
1.169,-2.166,-1.308,0
1.114,-2.651,-1.448,0
1.129,-2.89,-1.449,0
1.283,-3.055,-1.364,0
1.363,-3.027,-1.24,0
1.648,-2.969,-1.312,0
1.777,-2.669,-1.336,0
1.346,-2.082,-1.061,0
0.6449,-1.21,-0.6942,0
0.09753,-0.08522,-0.2141,0
-0.4535,1.025,0.2343,0
-0.7736,2.088,0.624,0
-0.9055,2.849,0.9478,0
0.09142,3.388,1.151,0
-0.08695,3.793,0.8256,0
-2.257,4.001,0.3662,0
-3.746,3.325,0.7755,0
-3.939,2.421,1.05,0
-3.343,1.557,0.9551,0
-2.853,0.7016,0.5666,0
-2.665,0.07727,0.0266,0
-2.395,-0.4395,-0.5012,0
-1.955,-0.8109,-1.025,0
-0.9556,-1.055,-1.461,0
0.7658,-1.317,-1.767,0
3.103,-1.67,-1.939,0
5.174,-2.091,-1.808,0
5.203,-2.83,-1.851,0
4.348,-3.375,-1.976,0
3.731,-3.485,-1.81,0
3.253,-3.3,-1.475,0
2.308,-2.821,-1.134,0
1.316,-2.104,-0.864,0
0.4323,-1.334,-0.6319,0
-0.07473,-0.4407,-0.2886,0
-0.3985,0.5122,0.07303,0
-0.9605,1.391,0.475,0
-1.389,2.303,0.9221,0
-1.678,3.046,1.39,0
-1.767,3.654,1.754,0
-2.516,4.132,1.964,0
-2.631,4.025,2.181,0
-3.1,3.747,2.075,0
-3.508,2.844,1.923,0
-2.677,2.075,1.697,0
-2.591,1.238,1.071,0
-2.478,0.522,0.1915,0
-1.088,0.07727,-0.5183,0
0.03156,-0.3149,-1.042,0
0.3907,-0.6631,-1.448,0
0.2564,-0.9771,-1.808,0
0.1134,-1.236,-2.133,0
-0.2727,-1.57,-2.412,0
-1.444,-1.796,-2.747,0
-1.862,-1.749,-3.011,0
-1.105,-1.595,-3.122,0
0.3443,-1.308,-2.831,0
0.8611,-0.8635,-2.213,0
0.5777,-0.3931,-1.093,0
0.3517,0.2068,0.1219,0
0.3174,0.8347,1.138,0
0.2698,1.328,1.939,0
0.3101,1.706,2.614,0
0.4897,1.99,3.076,0
0.5044,2.248,3.33,0
0.5251,2.301,3.369,0
0.3333,2.067,3.176,0
-0.06251,1.661,2.774,0
-0.4339,1.138,2.129,0
-0.8701,0.6099,1.221,0
-1.006,0.1066,0.2783,0
-0.7235,-0.3442,-0.5635,0
-0.09184,-0.7266,-1.395,0
0.6962,-1.261,-2.074,0
1.435,-1.724,-2.554,0
2.499,-2.188,-2.787,0
3.654,-2.414,-2.662,0
3.983,-2.982,-2.592,0
3.935,-3.284,-2.322,0
3.211,-3.292,-1.972,0
2.685,-3.097,-1.481,0
1.813,-2.612,-1.051,0
1.06,-1.943,-0.6881,0
0.5911,-1.184,-0.3998,0
0.1977,-0.3968,-0.1322,0
-0.2446,0.4206,0.1463,0
-0.616,1.222,0.431,0
-0.7589,1.977,0.7804,0
-0.6636,2.637,1.208,0
-0.6832,3.213,1.513,0
-0.1468,3.606,1.677,0
0.3468,3.722,1.507,0
1.077,3.272,0.916,0
1.366,2.199,0.1121,0
1.135,0.7627,-0.4645,0
0.3248,-0.4762,-0.7174,0
0.2148,-1.473,-0.7565,0
0.3969,-2.091,-0.6209,0
0.4885,-2.461,-0.4523,0
0.4103,-2.707,-0.3656,0
0.3248,-2.746,-0.2788,0
0.07065,-2.624,-0.1603,0
-0.1236,-2.356,-0.1078,0
-0.2042,-1.906,-0.06869,0
-0.01975,-1.231,0.0009468,0
-0.17,-0.4322,0.128,0
-0.6367,0.4597,0.3333,0
-1.081,1.479,0.5739,0
-2.339,2.524,0.9722,0
-3.951,3.294,1.551,0
-5.58,3.427,2.188,0
-5.657,3.067,2.777,0
-4.467,2.535,2.948,0
-3.086,1.841,2.587,0
-1.783,1.352,1.71,0
-1.101,1.039,0.6656,0
-1.3,0.5977,-0.1102,0
-1.741,0.1946,-0.5427,0
-1.171,-0.1219,-0.803,0
-0.3056,-0.3577,-0.9312,0
0.2637,-0.5886,-1.11,0
0.4934,-0.7657,-1.395,0
0.6962,-0.9001,-1.758,0
0.9344,-0.8989,-2.081,0
1.127,-0.8671,-2.275,0
1.175,-0.795,-2.38,0
0.7756,-0.6155,-2.265,0
0.4738,-0.4346,-1.667,0
0.2967,-0.1952,-0.6185,0
0.7475,0.1958,0.5361,0
0.6852,0.6112,1.545,0
0.5398,1.064,2.248,0
0.3126,1.447,2.59,0
0.3101,1.683,2.645,0
0.06332,1.718,2.519,0
-0.2348,1.481,2.254,0
-0.2531,1.102,1.824,0
-0.1798,0.7089,1.229,0
-0.3056,0.2752,0.4835,0
-0.5463,-0.1426,-0.2556,0
-0.6453,-0.4908,-0.8787,0
-0.3252,-0.7462,-1.361,0
0.271,-0.9514,-1.69,0
1.125,-1.22,-1.893,0
1.143,-1.427,-2.121,0
0.9136,-1.394,-2.559,0
0.3248,-1.345,-2.655,0
0.1354,-1.143,-2.085,0
0.2551,-0.5018,-0.8494,0
0.2319,0.2275,0.5788,0
0.1855,0.8616,1.654,0
0.3626,1.455,2.276,0
0.3272,1.949,2.438,0
0.3309,2.081,2.377,0
0.844,1.917,2.161,0
0.9369,1.641,1.782,0
0.7279,1.259,1.275,0
-0.0393,0.7468,0.7548,0
-0.4547,0.2031,0.2881,0
-0.3667,-0.332,-0.2092,0
-0.2042,-0.8097,-0.7113,0
-0.04174,-1.197,-1.187,0
0.3859,-1.535,-1.613,0
1.281,-1.886,-1.953,0
1.347,-2.196,-2.268,0
1.71,-2.505,-2.637,0
1.821,-2.92,-3.053,0
2.994,-2.954,-2.91,0
4.097,-3.028,-2.402,0
5.265,-2.75,-1.512,0
3.945,-2.413,-1.034,0
2.429,-1.747,-0.7248,0
1.088,-1.03,-0.5782,0
0.4213,-0.3259,-0.4144,0
-0.003871,0.1799,-0.2654,0
-0.4889,0.5965,0.00339,0
-0.7076,1.016,0.3125,0
-1.187,1.58,0.7071,0
-1.982,2.25,1.208,0
-2.471,3.08,1.647,0
-2.675,3.532,2.011,0
-2.328,4.056,2.438,0
-2.644,4.004,2.494,0
-2.001,3.672,2.294,0
-1.288,3.044,1.845,0
-0.1493,2.567,1.523,0
-0.3618,2.022,1.126,0
-1.042,1.453,0.8354,0
-1.58,0.858,0.5788,0
-1.927,0.2532,0.2233,0
-1.553,-0.266,-0.2165,0
-0.8554,-0.6985,-0.6979,0
-0.3093,-1.059,-1.173,0
0.02423,-1.363,-1.569,0
0.1904,-1.621,-1.868,0
0.1855,-1.819,-2.083,0
0.1513,-1.918,-2.254,0
0.08531,-1.965,-2.401,0
-0.08817,-1.901,-2.544,0
-0.02098,-1.786,-2.644,0
0.02423,-1.575,-2.429,0
-0.2959,-1.098,-1.622,0
-0.8249,-0.5287,-0.6502,0
-1.5,-0.01925,0.3357,0
-1.46,0.4145,1.093,0
-0.3789,0.8946,1.761,0
0.6876,1.391,2.349,0
1.184,1.883,2.738,0
1.385,2.311,2.942,0
1.544,2.511,2.824,0
0.756,2.352,2.4,0
0.1159,1.954,1.975,0
-0.28,1.496,1.351,0
-0.7907,0.9789,0.6815,0
-1.046,0.4597,0.1512,0
-0.9654,-0.02414,-0.2727,0
-0.787,-0.4737,-0.649,0
-0.8163,-0.8965,-1.079,0
-1.161,-1.182,-1.587,0
-0.6954,-1.361,-1.981,0
-0.1749,-1.502,-2.175,0
0.227,-1.548,-2.176,0
0.4506,-1.56,-2.104,0
0.05355,-1.399,-1.955,0
-0.08817,-1.069,-1.59,0
-0.1224,-0.5983,-0.8005,0
0.7585,-0.09866,0.08891,0
0.8465,0.4059,0.7694,0
0.833,0.9056,1.301,0
0.6485,1.364,1.693,0
0.6644,1.735,1.904,0
0.7512,1.944,1.928,0
0.3663,1.92,1.709,0
-0.1138,1.645,1.401,0
-0.1712,1.226,1.004,0
-0.3301,0.7358,0.4567,0
-0.5585,0.1946,-0.06625,0
-0.7821,-0.3186,-0.4548,0
-0.7051,-0.734,-0.7626,0
-0.3814,-1.042,-1.053,0
-0.1468,-1.25,-1.323,0
0.1281,-1.333,-1.499,0
1.002,-1.402,-1.476,0
0.9442,-1.386,-1.481,0
0.01934,-1.342,-1.499,0
-0.3289,-1.171,-1.336,0
-0.3875,-0.9209,-1.039,0
-0.5023,-0.5983,-0.511,0
-0.1664,-0.172,0.1366,0
0.2527,0.3289,0.7474,0
0.7646,0.8885,1.284,0
0.6913,1.402,1.572,0
0.629,1.824,1.704,0
0.8746,2.017,1.694,0
0.9344,2.003,1.523,0
0.7548,1.78,1.259,0
0.249,1.347,0.883,0
-0.5414,0.792,0.5006,0
-1.041,0.2153,0.1463,0
-0.8481,-0.2954,-0.2067,0
-0.5683,-0.7376,-0.5476,0
-0.539,-1.102,-0.8469,0
-0.4803,-1.359,-1.073,0
-0.4486,-1.544,-1.257,0
-0.1187,-1.81,-1.575,0
1.963,-1.945,-1.867,0
3.101,-2.094,-2.069,0
3.703,-2.27,-2.087,0
3.495,-2.358,-1.938,0
3.402,-2.22,-1.622,0
3.424,-1.981,-1.244,0
2.618,-1.709,-0.9997,0
1.863,-1.247,-0.7125,0
1.109,-0.6277,-0.4499,0
0.4311,0.03328,-0.2043,0
-0.159,0.7077,0.03516,0
-0.5427,1.383,0.3162,0
-0.7491,1.906,0.5935,0
-0.8408,2.385,0.8183,0
-1.086,2.865,1.021,0
-1.365,3.143,1.202,0
-1.199,3.169,1.207,0
-0.6355,2.848,1.033,0
-0.3386,2.477,0.7706,0
-0.2531,2.019,0.4872,0
-1.274,1.549,0.2514,0
-3.458,0.9813,0.08891,0
-4.734,0.4352,0.009499,0
-4.595,0.00152,-0.1872,0
-3.288,-0.4102,-0.5977,0
-0.9861,-0.6619,-1.052,0
0.9124,-0.8427,-1.369,0
1.521,-1.058,-1.545,0
1.374,-1.237,-1.614,0
0.9857,-1.346,-1.607,0
0.8061,-1.469,-1.596,0
1.055,-1.406,-1.481,0
0.5655,-1.232,-1.265,0
-0.2653,-0.9881,-0.9263,0
-0.7956,-0.6032,-0.4645,0
-0.9568,-0.1219,0.05104,0
-0.9141,0.346,0.5483,0
-0.7772,0.8018,1.039,0
-0.5011,1.201,1.518,0
-0.1431,1.51,1.925,0
0.2881,1.747,2.2,0
0.4201,1.849,2.264,0
0.3321,1.851,2.138,0
-0.0112,1.74,1.887,0
-0.4755,1.454,1.496,0
-0.4645,1.118,1.053,0
-0.3655,0.7688,0.6167,0
-0.1468,0.3937,0.2563,0
0.111,0.02595,-0.04304,0
0.06332,-0.332,-0.379,0
-0.04419,-0.6533,-0.7321,0
0.08531,-0.9026,-1.056,0
0.2466,-1.098,-1.323,0
0.3089,-1.228,-1.524,0
0.6436,-1.286,-1.678,0
0.9063,-1.318,-1.758,0
0.9637,-1.305,-1.761,0
0.8904,-1.247,-1.705,0
0.6412,-1.133,-1.615,0
0.4543,-1.019,-1.578,0
0.05599,-1.027,-1.586,0
-0.3631,-0.7217,-1.333,0
-0.7296,-0.3332,-0.7394,0
-0.7455,0.1127,0.1586,0
-0.4156,0.5623,1.042,0
0.2014,0.9508,1.643,0
0.5374,1.316,2.041,0
0.5129,1.634,2.282,0
0.5923,1.85,2.374,0
0.7731,1.889,2.319,0
0.8721,1.904,2.122,0
0.8782,1.772,1.793,0
0.9332,1.472,1.341,0
1.046,1.061,0.8378,0
1.08,0.577,0.3748,0
1.171,0.05528,0.01194,0
1.054,-0.4701,-0.2825,0
0.9845,-0.9673,-0.511,0
0.9075,-1.433,-0.7015,0
0.6131,-1.807,-0.8885,0
-0.2067,-2.085,-1.151,0
-1.24,-2.157,-1.646,0
-1.598,-1.928,-2.216,0
-1.52,-1.455,-2.587,0
-0.5011,-0.8781,-2.447,0
0.2625,-0.3748,-1.867,0
0.6168,0.1616,-0.8213,0
1.082,0.7187,0.2832,0
1.322,1.209,1.137,0
1.547,1.7,1.637,0
1.675,2.099,1.884,0
1.788,2.377,1.961,0
2.043,2.463,1.881,0
1.978,2.353,1.621,0
2.09,2.061,1.325,0
1.774,1.53,0.927,0
1.504,0.9203,0.4652,0
1.395,0.3387,0.04859,0
1.145,-0.244,-0.2361,0
0.8587,-0.7914,-0.2972,0
0.5887,-1.297,-0.2275,0
0.3309,-1.738,-0.1579,0
0.01568,-1.995,-0.1921,0
-0.3398,-2.069,-0.4486,0
-0.06496,-1.939,-0.8958,0
0.3639,-1.716,-1.323,0
0.5667,-1.389,-1.453,0
0.2441,-1.137,-1.138,0
0.111,-1.032,-0.638,0
0.05233,-0.6875,-0.01982,0
-0.71,-0.1854,0.4957,0
-0.6367,0.4145,0.8647,0
0.2588,1.066,1.173,0
0.8672,1.546,1.396,0
1.153,1.813,1.494,0
0.8953,1.888,1.418,0
0.6815,1.799,1.219,0
0.2527,1.508,0.9209,0
0.06699,1.149,0.6033,0
0.1207,0.7358,0.2734,0
0.01323,0.2911,-0.02837,0
-0.1358,-0.09011,-0.2129,0
-0.2287,-0.4615,-0.3582,0
0.1378,-0.745,-0.4865,0
0.7011,-0.9563,-0.6405,0
1.361,-1.219,-0.7797,0
1.531,-1.411,-0.9337,0
1.097,-1.593,-1.2,0
0.326,-1.702,-1.57,0
-0.4522,-1.6,-1.945,0
-0.6709,-1.389,-2.048,0
-0.8689,-1.166,-1.915,0
-0.5854,-0.8427,-1.466,0
-0.3362,-0.4493,-0.8225,0
0.1403,0.07482,-0.07358,0
0.4176,0.5904,0.6155,0
0.4506,1.085,1.201,0
0.618,1.569,1.672,0
0.9686,1.983,1.97,0
1.599,2.195,2.084,0
1.798,2.201,1.956,0
1.5,1.994,1.631,0
0.6681,1.615,1.223,0
0.08287,1.132,0.7157,0
0.03034,0.6136,0.2086,0
0.1378,0.01374,-0.2251,0
-0.1077,-0.5788,-0.6014,0
-0.2739,-1.1,-0.9117,0
-0.5561,-1.548,-1.138,0
-0.6551,-1.786,-1.289,0
-0.258,-1.87,-1.389,0
-0.02586,-1.874,-1.436,0
-0.159,-1.853,-1.432,0
-0.3081,-1.736,-1.356,0
-0.6526,-1.526,-1.207,0
-0.842,-1.063,-0.9092,0
-0.8786,-0.4444,-0.5073,0
-0.6318,0.1958,0.07669,0
-0.0002062,0.7993,0.7401,0
0.6913,1.331,1.29,0
1.331,1.788,1.687,0
1.572,1.971,1.89,0
1.287,1.89,1.942,0
0.5031,1.608,1.827,0
0.1012,1.235,1.491,0
0.01323,0.8677,0.861,0
0.2466,0.5318,0.117,0
0.1256,0.153,-0.4658,0
-0.594,-0.2318,-0.561,0
-1.432,-0.5922,-0.3497,0
-2.6,-0.828,-0.1628,0
-2.358,-0.9123,-0.1041,0
-1.026,-0.9172,-0.1554,0
0.348,-0.8415,-0.1786,0
0.9552,-0.6912,-0.1958,0
1.087,-0.5641,-0.2507,0
0.7035,-0.525,-0.2972,0
0.1586,-0.42,-0.3521,0
-0.3227,-0.4786,-0.4267,0
0.1134,-0.1365,-0.7113,0
0.155,0.5354,-0.8811,0
-0.3545,1.284,-0.5293,0
-0.8053,1.699,-0.1286,0
-0.7662,1.837,0.1146,0
-0.3838,1.618,0.2306,0
-0.09306,1.191,0.2929,0
0.04622,0.5586,0.2624,0
0.05599,-0.1182,0.3027,0
-0.003871,-0.6888,0.3003,0
-0.1676,-1.126,0.1781,0
-0.4132,-1.452,0.03027,0
-0.4718,-1.665,-0.1591,0
-0.5866,-1.781,-0.3228,0
-0.8237,-1.785,-0.4596,0
-0.8175,-1.678,-0.5989,0
-0.7345,-1.512,-0.6734,0
0.2735,-1.17,-0.5354,0
0.6424,-0.4908,-0.2837,0
0.2747,0.4511,0.1121,0
0.6388,1.332,0.6729,0
0.6803,1.997,1.047,0
0.7231,2.292,1.191,0
0.9393,2.251,1.09,0
0.6937,2.065,0.8122,0
0.2796,1.724,0.5043,0
-0.1578,1.256,0.2477,0
0.2832,0.6503,0.1549,0
0.8049,-0.128,0.09869,0
0.6852,-0.8916,0.0009468,0
0.06577,-1.46,-0.1811,0
-0.3081,-1.78,-0.4071,0
-0.3826,-1.925,-0.682,0
-0.495,-1.934,-1.014,0
-0.6673,-1.827,-1.339,0
-0.7687,-1.587,-1.469,0
-0.302,-1.152,-1.393,0
0.1146,-0.6533,-1.282,0
0.2099,-0.09255,-0.7492,0
0.2539,0.5159,0.0376,0
0.6339,1.215,0.8977,0
1.445,1.718,1.417,0
1.891,1.989,1.555,0
1.439,1.971,1.43,0
0.4188,1.707,1.202,0
-0.5744,1.348,0.9087,0
-0.9153,0.9215,0.5984,0
-1.108,0.4059,0.2881,0
-1.067,-0.1109,-0.02837,0
-1.105,-0.6008,-0.4267,0
-1.598,-0.993,-0.853,0
-2.39,-1.236,-1.262,0
-2.677,-1.283,-1.614,0
