gyro_x,gyro_y,gyro_z
0.7964,0.1371,0.2575
0.07554,0.1628,0.01316
-0.3081,0.09315,-0.06258
-0.1725,0.0284,-0.06136
0.06821,0.01374,-0.02837
0.06332,0.02229,-0.008827
-0.02342,0.05283,0.02294
-0.04541,0.08582,0.0547
-0.1798,0.1396,0.1024
-0.3264,0.2239,0.2416
-0.4694,0.2972,0.3956
-0.583,0.3876,0.6143
-0.9556,0.4743,0.8183
-1.147,0.5794,1.116
-1.167,0.5916,1.391
-1.36,0.7126,1.556
-1.529,0.7065,1.626
-0.9214,0.6845,1.692
-1.179,0.6283,1.726
-1.697,0.5537,1.559
-1.548,0.5537,1.394
-1.433,0.5244,1.329
-1.466,0.4389,1.357
-1.405,0.3424,1.428
-1.287,0.2508,1.418
-1.307,0.175,1.267
-1.211,0.1066,1.066
-0.958,0.109,0.8134
-0.7577,0.1555,0.541
-0.4828,0.2031,0.2844
-0.3887,0.2043,0.06448
-0.3325,0.175,-0.08702
-0.09061,0.1555,-0.1628
-0.02953,0.1127,-0.1848
-0.01853,0.06261,-0.208
0.01568,0.0284,-0.2092
-0.09184,0.005185,-0.1835
0.03645,-0.003367,-0.1163
0.08165,-0.01314,-0.03815
-0.1725,-0.0278,-0.01127
-0.4241,-0.05224,-0.05281
-0.7051,-0.1304,-0.2752
-0.9373,-0.4078,-0.6441
-0.3472,-0.7743,-1.079
-0.3899,-1.171,-1.602
-0.2812,-1.506,-2.199
-2.793,-0.4823,-4.786
-1.189,-0.3381,-4.083
0.7206,-0.4554,-2.401
1.303,-0.1976,0.2648
0.3284,0.8018,3.358
-0.6954,1.575,6.028
-1.79,1.52,7.463
-3.684,0.2593,6.742
-5.062,-0.8427,5.07
-3.008,-1.842,4.085
-1.398,-1.984,3.096
-1.554,-1.308,1.747
0.965,-0.2844,0.2001
1.118,0.6014,-1.629
0.9747,1.184,-3.347
1.788,1.709,-4.842
1.119,2.061,-6.132
1.7,2.356,-7.149
3.45,1.873,-7.719
3.616,1.231,-7.138
2.411,1.152,-5.599
3.406,1.047,-3.161
1.449,0.8934,0.04737
-1.234,0.9007,4.051
-2.714,1.168,7.082
-2.943,1.53,8.89
-4.265,1.435,8.048
-5.487,0.7651,6.27
-3.089,0.3546,4.525
-2.083,-0.2856,2.802
