acceleration_x,acceleration_y,acceleration_z,activity
-1.331,4.435,3.865,7
1.158,3.305,9.516,7
1.139,2.577,13.6,7
-0.641,2.711,13.56,7
-3.648,4.473,6.355,7
-1.963,4.32,3.176,7
1.12,3.63,7.658,7
1.426,2.692,13.06,7
0.124,2.634,14.67,7
-3.821,4.703,9.113,7
-2.518,4.435,3.061,7
0.258,3.994,4.21,7
1.426,2.807,10.97,7
0.718,2.405,14.23,7
-3.591,4.397,10.47,7
-3.591,4.78,4.382,7
-0.737,4.186,4.152,7
1.292,3.037,9.726,7
0.814,2.692,12.73,7
-1.082,2.845,13.39,7
-3.419,4.569,6.987,7
-1.925,4.301,4.152,7
0.948,3.516,7.945,7
0.737,2.903,12.12,7
-0.488,2.883,13.08,7
-3.17,4.531,8.96,7
-2.25,4.243,4.842,7
-0.162,4.358,4.306,7
1.024,3.401,10.36,7
0.22,2.998,12.96,7
-3.189,4.435,11.76,7
-2.901,4.301,6.202,7
-0.45,3.841,4.612,7
0.66,3.381,8.673,7
0.162,3.056,11.51,7
-1.752,3.401,13.04,7
-3.859,4.818,8.213,7
-1.522,4.148,4.919,7
1.273,3.63,6.719,7
1.312,2.998,11.01,7
-0.66,3.152,13.04,7
-3.572,4.818,9.918,7
-2.576,4.224,5.57,7
0.201,3.899,4.478,7
1.35,3.439,9.247,7
0.392,3.19,12.27,7
-3.055,4.588,11.43,7
-3.591,4.588,7.753,7
-1.177,4.052,4.765,7
1.407,3.286,7.964,7
0.679,3.209,11.49,7
-2.997,4.167,13.04,7
-2.844,4.205,12.37,7
-2.442,4.033,5.244,7
1.101,3.305,6.949,7
1.254,3.132,9.975,7
-0.373,3.113,12.89,7
-3.821,4.914,10.34,7
-3.189,4.492,5.474,7
1.101,3.592,5.838,7
1.599,3.343,8.692,7
0.545,3.056,12.71,7
-3.055,4.55,11.6,7
-3.265,4.569,6.815,7
-0.909,3.918,4.555,7
1.197,3.324,8.098,7
0.89,3.171,11.32,7
-2.652,4.128,11.93,7
-3.246,4.512,8.328,7
-2.059,4.033,5.321,7
1.101,3.477,6.642,7
0.986,3.247,10.2,7
-0.411,3.171,13,7
-3.265,4.626,10.26,7
-3.131,4.416,5.953,7
0.89,3.707,5.704,7
1.388,3.286,8.769,7
0.66,3.094,12.12,7
-2.901,4.339,11.74,7
-3.725,4.703,7.849,7
