gyro_x,gyro_y,gyro_z
-1.882,3.286,2.159
-1.582,2.531,1.842
-0.8078,1.538,1.061
0.08043,0.6136,0.1769
0.5923,-0.2416,-0.4963
0.7133,-0.9074,-0.8249
0.8758,-1.61,-1.105
1.169,-2.166,-1.308
1.114,-2.651,-1.448
1.129,-2.89,-1.449
1.283,-3.055,-1.364
1.363,-3.027,-1.24
1.648,-2.969,-1.312
1.777,-2.669,-1.336
1.346,-2.082,-1.061
0.6449,-1.21,-0.6942
0.09753,-0.08522,-0.2141
-0.4535,1.025,0.2343
-0.7736,2.088,0.624
-0.9055,2.849,0.9478
0.09142,3.388,1.151
-0.08695,3.793,0.8256
-2.257,4.001,0.3662
-3.746,3.325,0.7755
-3.939,2.421,1.05
-3.343,1.557,0.9551
-2.853,0.7016,0.5666
-2.665,0.07727,0.0266
-2.395,-0.4395,-0.5012
-1.955,-0.8109,-1.025
-0.9556,-1.055,-1.461
0.7658,-1.317,-1.767
3.103,-1.67,-1.939
5.174,-2.091,-1.808
5.203,-2.83,-1.851
4.348,-3.375,-1.976
3.731,-3.485,-1.81
3.253,-3.3,-1.475
2.308,-2.821,-1.134
1.316,-2.104,-0.864
0.4323,-1.334,-0.6319
-0.07473,-0.4407,-0.2886
-0.3985,0.5122,0.07303
-0.9605,1.391,0.475
-1.389,2.303,0.9221
-1.678,3.046,1.39
-1.767,3.654,1.754
-2.516,4.132,1.964
-2.631,4.025,2.181
-3.1,3.747,2.075
-3.508,2.844,1.923
-2.677,2.075,1.697
-2.591,1.238,1.071
-2.478,0.522,0.1915
-1.088,0.07727,-0.5183
0.03156,-0.3149,-1.042
0.3907,-0.6631,-1.448
0.2564,-0.9771,-1.808
0.1134,-1.236,-2.133
-0.2727,-1.57,-2.412
-1.444,-1.796,-2.747
-1.862,-1.749,-3.011
-1.105,-1.595,-3.122
0.3443,-1.308,-2.831
0.8611,-0.8635,-2.213
0.5777,-0.3931,-1.093
0.3517,0.2068,0.1219
0.3174,0.8347,1.138
0.2698,1.328,1.939
0.3101,1.706,2.614
0.4897,1.99,3.076
0.5044,2.248,3.33
0.5251,2.301,3.369
0.3333,2.067,3.176
-0.06251,1.661,2.774
-0.4339,1.138,2.129
-0.8701,0.6099,1.221
-1.006,0.1066,0.2783
-0.7235,-0.3442,-0.5635
-0.09184,-0.7266,-1.395
0.6962,-1.261,-2.074
1.435,-1.724,-2.554
2.499,-2.188,-2.787
3.654,-2.414,-2.662
3.983,-2.982,-2.592
3.935,-3.284,-2.322
