acceleration_x,acceleration_y,acceleration_z,activity
0.948,1.658,6.949,6
0.469,1.274,15.51,6
-1.446,3.19,9.956,6
0.66,1.715,2.199,6
-1.618,2.366,10.42,6
-0.833,3.726,8.06,6
-2.537,3.324,0.149,6
-3.323,-0.353,3.808,6
-3.706,-2.594,4.67,6
-8.916,-5.505,2.869,6
-11.98,-9.144,2.045,6
-18.09,-7.44,1.95,6
-19.12,-3.245,4.382,6
-14.22,-3.283,0.436,6
-6.062,-4.107,-8.067,6
-6.483,-2.115,1.796,6
-7.211,-8.857,5.532,6
-9.337,-12.17,4.401,6
-9.452,-10.64,1.413,6
-8.303,-6.52,4.229,6
-7.192,-5.907,3.29,6
-5.257,-7.114,3.808,6
-8.437,-2.881,2.582,6
-6.004,-4.184,1.337,6
-6.407,-5.543,0.628,6
-9.146,-2.67,-0.405,6
-12.44,-3.111,0.302,6
-8.667,-4.126,0.226,6
-7.518,-4.586,0.513,6
-11.64,-3.456,1.145,6
-11.23,-2.115,-1.421,6
-8.054,-5.486,-0.041,6
-3.629,-5.792,-0.597,6
-13.91,-2.134,-0.846,6
-9.701,-6.041,-1.555,6
-9.299,-8.072,-0.52,6
-11.04,-3.82,-0.769,6
-8.207,-3.59,-2.8,6
-6.024,-3.494,-2.819,6
-6.694,-4.873,-5.749,6
-4.606,-3.571,0.283,6
-1.426,-5.486,-1.114,6
-7.862,-18.86,-5.309,6
2.48,-6.98,-0.329,6
-2.48,-9.106,-0.137,6
-4.166,-9.259,-1.899,6
-7.958,-11.52,-0.405,6
-3.227,-7.593,-2.206,6
-2.595,-7.516,0.015,6
-6.866,-10.26,1.509,6
-6.847,-10.45,2.294,6
-1.522,-6.674,-2.723,6
-5.353,-7.842,1.088,6
-9.318,-12,2.122,6
-5.736,-9.604,0.954,6
-2.001,-5.352,-1.267,6
-6.598,-8.934,1.739,6
-9.797,-12.55,1.969,6
-1.771,-6.29,-2.129,6
-2.825,-5.39,-0.424,6
-10.26,-12.86,2.543,6
-5.966,-9.777,0.724,6
-0.775,-5.869,-2.148,6
-5.43,-8.417,1.681,6
-9.931,-12.63,2.39,6
-2.863,-6.846,-1.612,6
-2.633,-5.275,-0.693,6
-6.464,-9.585,1.739,6
-6.79,-10.7,1.394,6
-1.771,-6.463,-1.708,6
-3.495,-5.39,0.034,6
-10.01,-12.42,1.95,6
-6.004,-9.93,1.011,6
-1.388,-6.022,-1.516,6
-5.315,-8.129,0.973,6
-9.299,-12.4,2.237,6
-2.748,-7.21,-1.114,6
-3.055,-5.792,-0.022,6
-6.675,-9.585,1.509,6
-6.656,-10.31,1.03,6
-4.089,-8.244,-0.386,6
-5.123,-7.65,0.609,6
-9.337,-11.9,1.701,6
-5.928,-9.872,0.628,6
-2.384,-5.409,-0.673,6
-5.602,-8.378,0.187,6
-9.567,-12.65,1.892,6
-2.346,-6.769,-0.788,6
-2.901,-5.678,-1.037,6
-9.395,-11.81,1.643,6
-6.771,-10.33,1.413,6
-1.599,-6.271,-1.267,6
-4.989,-7.938,0.053,6
-9.586,-12.63,2.16,6
-3.055,-7.095,-0.463,6
-2.384,-5.658,-1.267,6
-6.1,-9.03,0.59,6
-7.288,-10.48,1.662,6
-2.94,-6.769,-0.788,6
-3.38,-5.831,-0.999,6
-9.127,-11.6,1.854,6
-6.407,-10.03,1.164,6
-1.905,-5.601,-1.267,6
-5.008,-8.225,0.36,6
-9.663,-12.53,2.007,6
-2.691,-7.076,-0.808,6
-1.312,-5.294,-2.091,6
-6.656,-8.991,1.03,6
-7.498,-10.62,1.394,6
-1.35,-5.927,-2.053,6
-5.104,-7.727,0.551,6
-10.31,-13.44,2.256,6
-5.583,-9.068,0.82,6
-2.327,-4.95,-1.459,6
-6.253,-8.895,0.781,6
-9.452,-12.84,2.065,6
-1.216,-6.214,-1.784,6
-3.419,-5.505,-0.769,6
-10.33,-12.74,1.911,6
-6.158,-9.508,0.647,6
-1.139,-5.199,-1.612,6
-6.33,-9.03,0.551,6
-9.376,-12.59,1.873,6
-1.886,-6.156,-0.827,6
-3.495,-5.716,-0.539,6
-7.575,-10.16,1.222,6
-5.966,-10.05,0.839,6
-2.02,-5.965,-0.846,6
-4.261,-6.156,-0.329,6
-9.261,-12.4,1.279,6
-5.028,-9.279,0.685,6
-2.039,-5.409,-0.788,6
-6.771,-8.895,0.226,6
-8.916,-12.4,1.586,6
-1.656,-5.792,-1.018,6
-3.763,-6.118,-0.635,6
-9.031,-10.96,1.126,6
-5.123,-8.991,0.513,6
-2.02,-6.559,-1.095,6
-4.453,-7.152,-0.386,6
-8.916,-12.63,1.93,6
-3.323,-7.574,-0.31,6
-3.648,-6.003,-1.152,6
-9.261,-11.31,1.471,6
-7.939,-11.35,1.586,6
-1.254,-4.605,-1.976,6
-4.625,-7.229,-0.424,6
-8.897,-12.57,2.084,6
-3.246,-7.363,-0.444,6
-2.001,-4.892,-2.014,6
-9.567,-11.92,1.701,6
-7.46,-11.04,1.509,6
-1.465,-6.214,-1.535,6
-4.721,-7.095,0.187,6
-10.68,-12.9,1.835,6
-2.576,-7.421,-0.999,6
-1.733,-4.816,-1.286,6
-6.273,-8.895,0.551,6
-7.537,-10.87,1.528,6
-1.944,-6.654,-1.708,6
-2.959,-5.122,-0.405,6
-10.39,-13.38,1.758,6
-5.985,-9.738,0.839,6
-2.135,-4.413,-0.999,6
-6.138,-8.704,1.318,6
-10.24,-13.42,2.007,6
-1.35,-6.233,-2.455,6
-3.591,-5.199,0.226,6
-10.49,-12.5,1.279,6
-5.66,-9.585,-0.156,6
-0.775,-5.256,-1.804,6
-6.234,-9.164,1.892,6
-10.45,-12.29,1.356,6
-3.878,-8.417,-1.593,6
-3.419,-5.639,0.8,6
-7.92,-10.81,1.892,6
-5.621,-9.432,-0.405,6
-1.273,-5.448,-1.67,6
-4.242,-6.693,0.743,6
-9.395,-12.36,1.26,6
-4.376,-8.646,-0.405,6
-2.02,-5.045,-1.172,6
-7.824,-10.05,1.164,6
-8.341,-11.88,1.298,6
-1.312,-5.429,-1.363,6
-4.051,-6.463,0.724,6
-9.376,-11.69,1.356,6
-4.357,-8.781,-0.329,6
-2.039,-4.892,-0.999,6
-4.778,-7.344,0.839,6
-8.399,-12.29,1.452,6
-3.112,-7.823,-0.922,6
-3.897,-6.041,0.551,6
-9.069,-11.35,1.164,6
-7.307,-11.58,1.241,6
-1.656,-4.701,-1.248,6
-4.472,-6.923,0.341,6
-9.988,-12.61,1.318,6
-3.591,-8.148,-0.099,6
-2.346,-4.682,-0.961,6
-8.437,-10.7,0.8,6
-7.728,-12,1.662,6
-2.48,-7.095,-0.75,6
-4.108,-6.425,0.073,6
-9.739,-12.21,1.241,6
-3.974,-8.532,-0.022,6
-1.925,-4.643,-1.114,6
-4.913,-7.574,0.628,6
-8.399,-12.13,1.375,6
-2.614,-7.306,-1.172,6
