acceleration_x,acceleration_y,acceleration_z,activity
1.158,3.669,4.65,7
-0.794,4.971,9.535,7
-0.756,5.354,11.91,7
1.024,3.937,13.75,7
-0.22,3.726,8.156,7
0.603,3.094,11.14,7
-1.388,4.856,10.88,7
-0.124,4.358,13.08,7
-0.814,2.845,3.827,7
1.254,5.546,7.294,7
0.699,5.622,9.822,7
0.181,3.975,6.393,7
0.756,4.224,2.888,7
0.335,6.408,8.424,7
-0.086,4.435,12.75,7
2.346,3.458,8.769,7
2.193,3.247,4.172,7
-1.177,6.293,9.056,7
-1.503,6.178,10.88,7
3.093,3.458,2.907,7
2.212,4.148,-0.693,7
-3.016,4.722,5.589,7
-4.031,2.692,6.068,7
-3.246,2.213,1.911,7
0.258,2.922,2.62,7
-4.778,1.083,3.539,7
-3.17,0.489,3.348,7
-3.055,-1.559,2.582,7
-4.74,-2.019,1.681,7
-4.721,-1.808,1.72,7
-5.449,-3.187,3.003,7
-3.859,-5.792,2.467,7
-9.529,-5.754,3.884,7
-11.19,-4.95,3.578,7
-10.16,-5.62,2.486,7
-9.471,-7.765,-0.424,7
-15.43,-7.593,2.026,7
-17.4,-6.271,3.674,7
-19.3,-5.218,2.85,7
-18.44,-5.486,-1.593,7
-19.3,-4.72,-1.325,7
-20.94,-2.824,2.371,7
-19.32,-2.67,1.93,7
-17.31,-3.839,0.513,7
-15.37,-3.609,1.854,7
-17.65,-1.157,4.095,7
-16.75,-0.276,0.915,7
-13.45,-1.713,-1.976,7
-13.57,-0.908,-0.482,7
-16.67,1.504,1.471,7
-16.56,1.389,1.222,7
-12.06,-1.828,-3.719,7
-4.855,-5.026,-10.02,7
-4.223,-4.26,-5.213,7
-10.49,-2.728,0.187,7
-5.181,-5.543,1.432,7
-4.127,-5.62,3.961,7
-13.23,0.317,0.207,7
-13.97,0.508,-2.033,7
-8.763,-1.732,1.93,7
-8.456,-0.946,4.65,7
-15.39,3.056,0.551,7
-10.14,-1.425,0.073,7
-13.28,1.715,4.65,7
-6.024,0.144,4.037,7
-5.621,-1.923,2.448,7
-9.931,-1.559,-3.068,7
-9.778,-1.598,-0.712,7
-5.985,-3.398,6.24,7
-7.288,-0.908,2.735,7
-8.571,-0.908,-6.247,7
-8.169,-2.096,-1.44,7
-6.138,-1.157,1.069,7
-9.241,0.872,-2.417,7
-12.4,0.106,-3.393,7
-11.64,-1.885,0.628,7
-5.315,-1.981,-2.474,7
-9.529,-2.115,0.13,7
-16.69,-2.211,-1.861,7
-11.31,-2.575,-3.719,7
-2.365,-3.82,-1.976,7
-3.553,-3.935,-0.233,7
-14.97,-1.234,-2.589,7
