acceleration_x,acceleration_y,acceleration_z,activity
0.181,5.048,1.337,4
-0.296,1.83,17.24,4
0.737,4.837,1.95,4
-0.43,2.136,15.63,4
0.105,4.761,3.271,4
-0.679,2.309,15.7,4
-0.392,4.052,5.282,4
-1.695,3.286,12.45,4
-0.201,3.017,8.328,4
-1.848,4.186,8.232,4
-0.047,2.883,9.247,4
-1.925,4.282,7.868,4
0.124,2.117,12.31,4
-0.852,4.722,4.612,4
0.143,1.715,16.2,4
-0.028,5.163,1.375,4
0.43,1.37,17.64,4
0.296,4.895,0.417,4
0.277,1.543,17.87,4
-0.239,4.339,3.942,4
-0.909,2.577,14.59,4
-0.277,4.416,4.497,4
-1.676,3.65,11.56,4
-0.488,3.745,6.968,4
-1.886,4.263,8.539,4
-0.296,2.998,9.209,4
-1.216,4.186,7.715,4
0.124,2.156,12.85,4
-0.43,4.875,4.804,4
0.181,2.079,14.06,4
0.392,5.029,2.026,4
-0.047,1.907,16.72,4
0.296,4.741,3.022,4
-0.296,2.098,16.03,4
0.143,4.799,3.271,4
-0.871,2.922,13.82,4
-0.526,4.435,4.957,4
-1.005,3.094,13.12,4
-0.335,3.113,7.409,4
-1.273,3.803,9.994,4
-0.162,2.768,10.95,4
-0.641,4.761,5.512,4
0.201,2.424,11.83,4
0.296,4.856,3.214,4
0.392,1.907,15.51,4
0.392,5.029,2.179,4
0.258,1.83,16.95,4
1.273,4.799,1.854,4
-0.641,2.232,15.89,4
0.296,4.665,3.52,4
-0.392,2.136,16.68,4
0.086,3.669,6.336,4
-1.541,3.286,12.85,4
-0.469,3.841,5.915,4
-1.944,4.454,7.887,4
0.047,2.768,10.09,4
-1.446,5.412,3.903,4
0.584,1.696,13.71,4
-0.201,4.933,3.022,4
0.794,1.447,17.06,4
0.833,4.818,1.394,4
-0.526,2.194,17.2,4
0.143,5.105,2.256,4
-0.354,2.232,15.63,4
0.201,4.109,4.899,4
-1.35,2.96,13.67,4
-0.316,4.416,4.746,4
-2.231,4.167,10.51,4
-0.162,3.42,7.428,4
-1.407,4.818,6.432,4
0.392,2.5,11.05,4
-0.948,4.952,5.244,4
0.124,3.017,8.807,4
0.105,5.354,1.739,4
0.526,1.543,16.91,4
0.833,5.067,0.685,4
-1.005,2.462,17.69,4
0.43,4.856,3.118,4
-0.507,2.213,15.24,4
0.814,4.32,3.559,4
-1.58,3.42,11.99,4
