acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,activity
-0.04311,0,9.86,4.151,-1.144,-7.127,1
-0.09101,0,9.884,3.285,-1.19,-6.01,1
-0.0503,0.04072,9.875,2.937,-0.3882,-3.642,1
-0.0479,0.01677,9.889,3.156,0.7529,0.2856,1
-0.06946,0.01198,9.846,-2.122,2.747,3.975,1
0.3066,-0.2227,9.982,-3.358,2.754,6.629,1
-0.03353,0.002395,9.841,-2.936,2.219,7.617,1
-0.06227,0.04072,9.872,-3.786,1.901,6.586,1
-0.06467,0.00958,9.932,-4.39,1.848,4.558,1
-0.02156,0.03832,9.82,-2.202,0.7883,3.157,1
-0.04072,0.04551,9.853,-0.4034,0.8763,0.8562,1
-4.859,1.468,6.479,1.413,0.456,-1.438,1
-7.298,0.5844,6.301,1.312,-0.4175,-2.907,1
-0.08862,0.01916,9.913,1.331,-0.7816,-4.285,1
-8.04,0.8646,5.777,2.668,-1.61,-5.734,1
-0.115,-0.002395,9.841,2.809,-2.347,-6.876,1
-0.04311,0.04072,9.844,3.298,-2.363,-6.837,1
-0.05988,0.01198,9.906,1.46,-0.734,-5.647,1
-0.03353,0.01916,9.927,1.494,1.185,-3.637,1
-0.02874,0.03832,9.887,2.209,2.131,0.3333,1
-0.0982,-0.00958,9.839,-3.227,3.476,4.364,1
-4.206,-8.96,-6.117,-3.778,2.407,7.144,1
-0.0503,0.01916,9.836,-3.447,1.606,7.667,1
-2.335,-8.562,-6.464,-5.988,0.4511,5.893,1
-0.05748,0.01198,9.87,-3.201,0.3375,3.805,1
-7.609,0.491,6.481,-0.3215,0.06749,2.063,1
-0.0982,-0.002395,9.853,-0.01487,0.1738,0.4139,1
-0.06467,0.01916,9.918,1.46,0.2544,-1.439,1
-0.06227,-0.01916,9.875,2.232,0.2984,-2.858,1
-0.03832,-0.00479,9.901,2.272,-0.1671,-4.17,1
-1.899,7.413,6.021,3.74,-1.505,-5.207,1
-0.05509,0.01916,9.901,3.408,-2.388,-6.025,1
-0.02874,0.01677,9.872,3.024,-2.466,-5.844,1
-0.05509,0.03114,9.865,2.502,-1.787,-4.438,1
-4.038,5.863,5.777,-0.2678,-0.6814,-2.311,1
-0.03353,0.0479,9.875,-3.452,0.3986,1.206,1
-0.07904,0.02874,9.906,-5.575,0.8787,5.428,1
-0.05509,0.01916,9.877,-2.126,0.1848,8.634,1
-2.282,-7.86,-6.091,-2.098,1.939,8.207,1
-0.06467,-0.00958,9.901,-8.04,0.4206,5.585,1
-0.07664,0.02156,9.896,1.725,-0.05346,3.305,1
-0.0479,0.07425,9.887,2.138,0.7688,1.162,1
-0.01677,0.04311,9.829,0.4873,0.2617,-0.5012,1
-7.877,0.4335,6.565,2.005,-0.3809,-1.639,1
0.1293,-0.1006,9.966,2.627,-1.097,-1.975,1
-0.07425,0.01437,9.896,0.9454,-2.165,-2.271,1
-0.05988,-0.01437,9.913,1.319,-2.76,-4.483,1
-7.164,0.4143,6.416,1.941,-3.048,-6.275,1
-3.348,-8.102,-5.262,3.181,-2.254,-6.147,1
-0.07904,0.01437,9.884,2.269,-1.011,-4.427,1
-0.02874,0.02395,9.877,-0.09306,0.1701,-1.576,1
