gyro_x,gyro_y,gyro_z,acceleration_x,acceleration_y,acceleration_z,activity
4.151,-1.144,-7.127,-0.05269,0,9.832,1
3.285,-1.19,-6.01,-3.504,2.153,8.704,1
2.937,-0.3882,-3.642,-0.07425,0.00958,9.875,1
3.156,0.7529,0.2856,-1.688,0.1293,9.429,1
-2.122,2.747,3.975,-0.03832,0.01198,9.863,1
-3.358,2.754,6.629,-0.02395,0.02395,9.887,1
-2.936,2.219,7.617,-0.05269,0.01677,9.908,1
-3.786,1.901,6.586,-0.05269,0.02156,9.851,1
-4.39,1.848,4.558,-0.01916,0.01677,9.882,1
-2.202,0.7883,3.157,-0.07185,-0.01677,9.872,1
-0.4034,0.8763,0.8562,-0.05269,0.04311,9.937,1
1.413,0.456,-1.438,-0.06946,-0.01437,9.872,1
1.312,-0.4175,-2.907,-0.04551,0.02635,9.884,1
1.331,-0.7816,-4.285,-0.07664,-0.02874,9.853,1
2.668,-1.61,-5.734,-0.07904,-0.002395,9.834,1
2.809,-2.347,-6.876,-0.06706,0.02635,9.879,1
3.298,-2.363,-6.837,-0.06227,0.01677,9.827,1
1.46,-0.734,-5.647,-0.06706,0.04072,9.867,1
1.494,1.185,-3.637,-0.05748,-0.01198,9.93,1
2.209,2.131,0.3333,-8.071,0.8239,6.843,1
-3.227,3.476,4.364,-0.467,-0.5006,11.09,1
-3.778,2.407,7.144,-0.05748,0.04311,9.844,1
-3.447,1.606,7.667,-0.1269,0.0503,9.817,1
-5.988,0.4511,5.893,-0.06467,0.002395,9.815,1
-3.201,0.3375,3.805,-0.02156,0.01437,9.891,1
-0.3215,0.06749,2.063,-0.05748,0.002395,9.844,1
-0.01487,0.1738,0.4139,-0.01437,0.02874,9.856,1
1.46,0.2544,-1.439,-0.03353,-0.00958,9.87,1
2.232,0.2984,-2.858,-0.07425,0.07664,9.82,1
2.272,-0.1671,-4.17,-0.0479,0.007185,9.915,1
3.74,-1.505,-5.207,-0.05988,0.00958,9.923,1
3.408,-2.388,-6.025,-7.781,0.2395,5.791,1
3.024,-2.466,-5.844,-0.06467,0.02156,9.889,1
2.502,-1.787,-4.438,-0.06946,0.02635,9.906,1
-0.2678,-0.6814,-2.311,-2.876,-6.301,-5.485,1
-3.452,0.3986,1.206,-0.03353,0.01916,9.915,1
-5.575,0.8787,5.428,-0.04551,-0.02395,9.894,1
-2.126,0.1848,8.634,-0.07185,0.03593,9.925,1
-2.098,1.939,8.207,-0.08383,0.02874,9.884,1
-8.04,0.4206,5.585,-0.05988,0.06706,9.913,1
1.725,-0.05346,3.305,-0.04311,0.03832,9.918,1
2.138,0.7688,1.162,-7.499,0.4503,6.409,1
0.4873,0.2617,-0.5012,-2.455,-7.635,-5.07,1
2.005,-0.3809,-1.639,-0.07425,0.03353,9.865,1
2.627,-1.097,-1.975,-0.07664,0.02156,9.908,1
0.9454,-2.165,-2.271,-0.07425,0.05509,9.858,1
1.319,-2.76,-4.483,-0.007185,0.02156,9.903,1
