acceleration_x,acceleration_y,acceleration_z
-0.2419,7.422,6.673
-0.2706,7.401,6.768
-0.3497,7.336,6.922
-0.3784,7.386,6.905
-0.3185,7.35,6.852
-0.2778,7.396,6.723
-0.2994,7.389,6.579
-0.3329,7.384,6.483
-0.5125,7.432,6.45
-0.5532,7.384,6.462
-0.6778,7.427,6.397
-0.6874,7.48,6.402
-0.7544,7.456,6.378
-0.7472,7.453,6.402
-0.6514,7.379,6.392
-0.6083,7.324,6.361
-0.4862,7.36,6.445
-0.4335,7.36,6.505
-0.3018,7.353,6.519
-0.2682,7.329,6.512
-0.206,7.324,6.598
-0.1629,7.36,6.696
-0.206,7.381,6.735
-0.1796,7.41,6.787
-0.1724,7.386,6.785
-0.1557,7.439,6.735
-0.2323,7.398,6.687
-0.3353,7.41,6.608
-0.3401,7.441,6.593
-0.3736,7.408,6.455
-0.4862,7.386,6.428
-0.5509,7.374,6.366
-0.594,7.408,6.273
-0.6371,7.463,6.294
-0.6946,7.446,6.316
-0.7161,7.46,6.354
-0.6562,7.492,6.392
-0.594,7.542,6.416
-0.4958,7.499,6.514
-0.3928,7.425,6.464
-0.3808,7.446,6.385
-0.297,7.439,6.428
-0.2754,7.365,6.51
-0.1772,7.369,6.534
-0.1629,7.369,6.543
-0.08383,7.324,6.488
-0.08862,7.338,6.601
-0.05509,7.377,6.555
-0.09341,7.403,6.567
-0.1293,7.355,6.546
-0.2491,7.396,6.546
-0.3305,7.465,6.55
-0.3784,7.413,6.483
-0.4,7.429,6.471
-0.4742,7.482,6.397
-0.5269,7.425,6.325
-0.5868,7.456,6.287
-0.6323,7.551,6.282
-0.6514,7.528,6.273
-0.6395,7.487,6.373
-0.5461,7.477,6.462
-0.5077,7.475,6.479
-0.4838,7.47,6.562
-0.4287,7.496,6.589
-0.3712,7.482,6.617
-0.3736,7.499,6.67
-0.3593,7.482,6.718
-0.2467,7.504,6.687
-0.1772,7.439,6.598
-0.1868,7.393,6.553
-0.1509,7.379,6.519
-0.1485,7.389,6.529
-0.1581,7.369,6.402
-0.2251,7.393,6.469
-0.3233,7.401,6.443
-0.3521,7.432,6.383
-0.3712,7.42,6.344
-0.3904,7.487,6.337
-0.4383,7.405,6.332
-0.5149,7.42,6.366
-0.5197,7.465,6.301
-0.4814,7.489,6.285
-0.4742,7.468,6.265
-0.4024,7.417,6.213
-0.3736,7.372,6.208
-0.3545,7.405,6.244
-0.2994,7.377,6.359
-0.3497,7.374,6.443
-0.3904,7.437,6.493
-0.3521,7.48,6.596
-0.2946,7.511,6.687
-0.2371,7.563,6.701
-0.2012,7.52,6.74
-0.2467,7.573,6.773
-0.2994,7.587,6.749
-0.3545,7.566,6.78
-0.4287,7.587,6.737
-0.3784,7.64,6.728
-0.4479,7.626,6.629
-0.479,7.573,6.534
-0.5413,7.537,6.5
-0.5317,7.513,6.512
-0.4215,7.506,6.402
-0.376,7.544,6.419
-0.4,7.496,6.397
-0.3928,7.458,6.409
-0.388,7.458,6.335
-0.3185,7.415,6.237
-0.3425,7.427,6.273
-0.2706,7.429,6.342
-0.285,7.391,6.318
-0.2635,7.379,6.27
-0.2108,7.449,6.347
-0.1629,7.456,6.407
-0.17,7.42,6.423
-0.2036,7.417,6.428
-0.2179,7.432,6.447
-0.1964,7.499,6.471
-0.1772,7.475,6.471
-0.17,7.453,6.383
-0.1772,7.449,6.328
-0.1964,7.413,6.383
-0.194,7.386,6.409
-0.2754,7.429,6.447
-0.285,7.46,6.416
-0.376,7.489,6.397
-0.4287,7.525,6.44
-0.4694,7.53,6.423
-0.4646,7.561,6.397
-0.4622,7.551,6.371
-0.4958,7.58,6.414
-0.4263,7.585,6.502
-0.4191,7.549,6.529
-0.4095,7.499,6.582
-0.3808,7.542,6.502
-0.3377,7.465,6.471
-0.2299,7.427,6.469
-0.1964,7.475,6.522
-0.1102,7.449,6.471
-0.1341,7.465,6.455
-0.1245,7.465,6.447
-0.2251,7.458,6.409
-0.2443,7.441,6.438
-0.285,7.398,6.361
-0.3233,7.48,6.385
-0.376,7.482,6.294
-0.3497,7.496,6.356
-0.3904,7.475,6.33
-0.4263,7.468,6.273
-0.4527,7.468,6.33
-0.491,7.475,6.28
-0.388,7.432,6.316
-0.3784,7.489,6.325
-0.3161,7.472,6.364
-0.3114,7.463,6.455
-0.3066,7.508,6.5
-0.2611,7.511,6.524
-0.182,7.496,6.601
-0.1677,7.484,6.591
-0.2251,7.446,6.562
-0.1317,7.377,6.562
-0.1293,7.41,6.593
-0.1844,7.468,6.582
-0.1748,7.46,6.555
-0.2515,7.511,6.555
-0.2251,7.489,6.502
-0.2922,7.501,6.495
-0.376,7.449,6.409
-0.4239,7.487,6.347
-0.4431,7.487,6.256
-0.4383,7.492,6.241
-0.4934,7.504,6.246
-0.4982,7.489,6.294
-0.5125,7.492,6.313
-0.479,7.504,6.438
-0.3712,7.475,6.529
-0.2443,7.487,6.57
-0.1748,7.453,6.608
-0.1389,7.477,6.582
-0.2036,7.511,6.529
-0.1772,7.451,6.488
-0.1485,7.482,6.443
-0.1413,7.434,6.51
-0.1341,7.422,6.462
-0.1341,7.379,6.493
-0.08143,7.417,6.471
-0.1892,7.372,6.462
-0.1892,7.396,6.392
-0.182,7.434,6.383
-0.1964,7.413,6.464
-0.3209,7.42,6.397
-0.3449,7.398,6.373
-0.388,7.472,6.292
-0.4215,7.499,6.376
-0.5293,7.47,6.397
-0.855,7.516,4.397
-0.6538,7.595,6.138
-0.5916,7.401,6.332
-0.3688,7.326,6.371
-0.8311,7.518,5.98
-0.6347,7.499,6.61
-0.4359,7.396,6.735
-0.1102,7.288,7.199
-0.07185,7.271,7.69
-0.07185,7.504,7.659
-0.05269,7.477,7.638
-0.1198,7.472,7.532
-0.3712,7.504,7.104
-0.6538,7.551,6.62
-0.9436,7.563,6.263
-0.4455,7.398,6.462
-0.3281,7.643,6.273
-0.2203,7.499,6.534
-0.2395,7.408,6.474
-0.2179,7.41,6.404
-0.2179,7.425,6.32
-0.3712,7.372,6.299
-0.4646,7.374,6.261
-0.5173,7.386,6.251
-0.4982,7.374,6.222
