acceleration_x,acceleration_y,acceleration_z,activity
-0.201,3.554,8.769,1
-0.373,2.462,13.67,1
-0.028,3.688,6.298,1
-0.526,3.765,8.424,1
-0.469,3.592,8.884,1
0.009,2.615,11.99,1
-0.22,4.071,5.819,1
-0.373,3.611,9.094,1
-1.063,3.286,11.55,1
0.067,3.19,8.194,1
-0.296,3.937,6.891,1
-0.124,3.535,8.558,1
-1.005,2.826,13.39,1
-0.047,3.65,6.738,1
-0.469,3.822,8.232,1
-0.316,3.688,8.443,1
-0.105,2.481,12.89,1
-0.239,4.071,5.781,1
-0.565,3.707,8.807,1
-1.043,3.401,10.57,1
0.22,2.788,10.44,1
-0.411,3.975,7.102,1
-0.316,3.688,8.481,1
-0.794,2.883,12.73,1
0.143,3.439,7.14,1
-0.45,3.765,8.156,1
-0.45,3.65,8.654,1
-0.181,2.424,13.1,1
-0.028,3.841,5.8,1
-0.545,3.65,8.941,1
-1.024,3.42,10.45,1
0.105,2.692,10.95,1
-0.411,3.994,6.623,1
-0.296,3.516,8.634,1
-1.063,3.094,11.8,1
0.028,3.381,7.524,1
-0.22,3.707,7.849,1
-0.258,3.554,8.615,1
-0.335,2.405,13.44,1
-0.162,3.841,6.202,1
-0.718,3.65,8.941,1
-0.948,3.42,10.09,1
0.009,2.711,11.18,1
-0.181,3.899,6.451,1
-0.45,3.554,8.903,1
-1.024,3.132,11.47,1
0.028,3.228,7.868,1
-0.316,3.745,7.581,1
-0.181,3.554,8.539,1
-0.43,2.558,13.31,1
0.086,3.63,6.815,1
-0.545,3.726,8.654,1
-0.737,3.784,8.749,1
-0.162,2.768,11.74,1
-0.277,4.014,6.374,1
-0.392,3.611,8.845,1
-1.082,3.324,10.95,1
0.239,3.286,8.424,1
-0.43,4.071,7.485,1
-0.335,3.994,7.945,1
-0.584,2.826,13.21,1
-0.201,4.071,6.336,1
-0.316,3.726,8.539,1
-0.622,3.784,8.73,1
0.162,2.654,11.58,1
-0.316,4.128,6.298,1
-0.565,3.745,9.075,1
-1.005,3.381,11.37,1
0.067,3.152,9.42,1
-0.507,4.148,7.907,1
-0.526,3.496,9.86,1
-0.679,2.864,12.43,1
0.067,3.726,6.393,1
-0.967,3.765,9.439,1
-0.507,3.765,8.52,1
-0.105,2.481,13.19,1
-1.177,4.301,6.681,1
-0.679,3.611,9.209,1
-0.354,4.512,6.681,2
-1.676,3.017,14.55,2
-0.277,3.822,5.857,2
-0.316,4.454,6.279,2
-1.676,3.171,13.82,2
-0.641,3.879,6.393,2
-0.737,4.492,6.374,2
-1.752,3.132,13.6,2
-0.411,3.688,6.7,2
-0.565,4.416,6.221,2
-2.212,3.343,13.02,2
-0.239,3.535,7.332,2
-0.641,4.531,5.895,2
-1.752,3.343,12.18,2
0.373,2.654,9.822,2
-0.45,4.454,5.589,2
-2.365,3.726,11.37,2
-0.258,2.73,11.14,2
-0.028,4.282,6.508,2
-2.212,3.994,10.66,2
0.124,2.922,10.3,2
-0.488,4.473,5.972,2
-1.905,4.512,8.041,2
0.162,2.979,10.13,2
-0.277,4.301,5.953,2
-1.714,4.263,8.271,2
0.086,2.845,10.65,2
-0.373,4.416,5.646,2
-1.867,4.435,8.29,2
-0.086,2.864,11.07,2
-0.143,4.205,5.148,2
-1.695,4.55,6.93,2
-0.162,2.673,11.55,2
-0.201,4.128,5.244,2
-1.81,4.607,6.604,2
-0.679,2.328,12.68,2
-0.641,4.32,4.612,2
-1.752,4.377,6.968,2
-0.967,2.098,15.99,2
-0.373,4.167,4.612,2
-1.407,4.243,6.642,2
-0.718,1.543,16.77,2
-0.526,4.224,4.325,2
-1.618,4.397,6.47,2
-0.967,1.772,17.2,2
-0.507,4.263,4.172,2
-0.909,4.435,6.298,2
-0.967,1.677,17.39,2
-0.22,4.109,4.21,2
-0.833,4.473,6.317,2
-1.12,1.753,17.54,2
-0.373,4.033,4.459,2
-0.603,4.492,5.953,2
-1.273,1.772,18.08,2
-0.43,3.86,5.378,2
-0.488,4.454,6.106,2
-1.465,1.887,17.37,2
-0.373,3.784,5.551,2
-0.507,4.473,6.068,2
-1.867,2.558,15.49,2
-0.239,3.573,6.03,2
-0.411,4.416,6.068,2
-2.423,2.864,15.43,2
-0.469,3.535,6.317,2
-0.469,4.416,6.164,2
-2.212,2.883,14.65,2
-0.162,3.381,6.489,2
-0.507,4.454,5.761,2
-2.48,3.171,14.27,2
-0.411,3.286,6.987,2
-0.316,4.205,5.627,2
-2.537,3.343,13.1,2
-0.967,3.228,7.945,2
-0.105,4.186,5.168,2
-2.384,3.592,12.08,2
-0.239,3.113,7.945,2
-0.373,4.301,5.953,2
-2.346,3.745,10.8,2
0.047,2.405,10.66,2
-0.545,4.243,5.723,2
-2.614,4.071,9.86,2
-0.43,2.194,12.1,2
-0.641,4.32,4.823,2
-2.25,4.358,7.275,2
-0.028,1.907,12.83,2
-0.258,4.205,4.919,2
-2.116,4.626,6.891,2
-0.143,1.753,13.67,2
-0.086,4.071,4.401,2
-1.733,4.492,6.355,2
-0.277,1.523,15.03,2
-0.258,4.243,4.057,2
-1.676,4.569,6.336,2
-0.258,1.447,15.8,2
-0.201,4.128,4.095,2
-1.063,4.646,5.8,2
-0.756,1.428,17.43,2
0.009,4.014,4.267,2
-0.909,4.703,5.417,2
-1.522,1.753,18.63,2
0.009,4.071,4.267,2
-0.603,4.703,5.359,2
-1.771,1.926,18.29,2
0.258,3.937,4.67,2
-0.354,4.512,5.627,2
-1.79,2.041,17.87,2
0.162,3.803,5.072,2
-0.316,4.377,6.144,2
-1.618,2.079,18.19,2
0.009,3.803,4.784,2
-0.086,4.32,5.685,2
-1.81,2.481,17.1,2
0.239,3.63,5.244,2
-0.162,4.301,6.01,2
-1.925,2.922,15.99,2
0.009,3.113,7.983,2
-0.086,4.263,6.106,2
-1.829,3.401,14.04,2
-0.009,3.056,9.133,2
-0.584,4.492,6.03,2
-2.231,3.611,12.58,2
0.181,2.807,9.765,2
-0.181,4.397,5.934,2
-2.346,4.588,8.136,2
-0.201,2.826,10.88,2
-0.584,4.32,6.03,2
-2.499,4.799,6.93,2
0.009,2.405,11.91,2
-0.086,4.052,5.206,2
-2.308,4.818,6.374,2
-0.143,2.232,13.81,2
-0.124,4.052,5.263,2
-1.599,4.78,6.508,2
0.067,1.983,13.75,2
0.047,3.937,4.804,2
-1.541,4.722,6.049,2
-0.009,1.753,15.51,2
0.009,4.09,4.612,2
-1.177,4.818,5.148,2
-0.565,1.753,16.93,2
0.335,3.879,4.325,2
-0.852,4.646,5.512,2
-0.928,1.887,17.08,2
-0.009,3.975,4.861,2
-0.526,4.665,5.57,2
-1.81,2.251,18.33,2
0.105,3.765,5.244,2
-0.009,4.301,5.168,2
-1.771,2.347,16.89,2
-0.181,3.841,5.436,2
-0.488,4.377,6.183,2
-1.79,2.864,14.98,2
0.086,3.362,6.355,2
-0.277,4.435,5.704,2
-1.829,3.209,13.73,2
0.009,3.573,7.389,2
-0.316,4.473,6.259,2
-1.58,3.209,13.4,2
0.316,2.749,9.42,2
-0.201,4.32,6.106,2
-1.714,3.477,11.72,2
0.277,2.73,9.822,2
-0.545,4.282,6.24,2
-2.212,4.55,7.658,2
0.143,2.711,10.9,2
-0.641,4.377,6.106,2
-1.944,4.626,7.275,2
0.354,2.347,11.93,2
-0.296,4.224,5.532,2
-1.733,4.435,7.504,2
0.22,2.098,12.62,2
-0.277,3.994,4.842,2
-1.522,4.55,6.604,2
-0.047,2.175,13.73,2
-0.316,4.071,5.263,2
-1.35,4.454,6.738,2
0.143,1.887,14.34,2
-0.258,4.014,4.727,2
-1.35,4.512,6.7,2
-0.948,1.811,17.44,2
-0.239,3.899,4.612,2
-0.737,4.243,6.144,2
-1.12,1.715,18.19,2
-0.22,3.975,4.842,2
-0.909,4.512,5.474,2
-1.58,1.849,17.94,2
-0.143,3.822,5.033,2
-0.316,4.492,5.627,2
-2.327,2.539,16.91,2
-0.201,3.956,5.436,2
-0.507,4.435,6.144,2
-1.484,2.443,15.78,2
-0.392,3.669,6.24,2
-0.373,4.435,5.666,2
-1.541,2.615,14.95,2
0.124,3.267,7.619,2
-0.603,4.416,6.144,2
-1.944,2.711,15.07,2
-0.201,3.343,6.202,2
-0.392,4.128,5.972,2
-1.963,2.845,13.94,2
-0.373,3.075,8.596,2
-0.565,4.358,5.934,2
-2.059,3.726,11.1,2
-0.258,2.73,9.075,2
-0.45,4.014,5.838,2
-2.02,3.879,8.864,2
-0.067,2.424,10.19,2
-0.469,4.09,5.857,2
-2.135,4.205,8.041,2
-0.086,2.366,11.16,2
-0.201,3.899,5.072,2
-2.269,4.512,7.792,2
-0.143,2.366,11.87,2
-0.143,2.366,11.87,2
-0.143,2.366,11.87,2
-0.028,3.209,6.987,2
0.086,3.86,4.516,2
-0.009,3.879,4.516,2
-0.45,4.32,5.723,2
-0.316,4.377,5.704,2
-1.216,4.607,5.302,2
-2.174,4.014,9.247,2
-2.193,2.73,15.93,2
-1.158,1.581,18.02,2
-0.181,2.098,13.12,2
-0.258,2.903,8.117,2
-0.009,3.63,4.938,2
-0.067,3.688,4.65,2
-0.679,4.186,5.8,2
-0.545,4.263,5.895,2
-1.063,4.531,5.8,2
-2.212,4.148,8.5,2
-2.231,2.941,15.22,2
-1.599,1.696,19.38,2
-0.296,2.041,14.02,2
-0.296,2.941,8.098,2
-0.258,3.975,4.631,2
-0.162,3.899,4.612,2
-0.488,4.128,6.049,2
-0.411,4.282,6.106,2
-0.545,4.416,5.972,2
-2.231,4.454,7.313,2
-2.576,3.516,13.44,2
-1.829,2.021,18.31,2
-0.507,1.964,14.94,2
-0.411,2.692,9.784,2
-0.411,3.841,5.934,2
0.105,3.803,4.65,2
-0.201,3.937,5.359,2
-0.545,4.167,6.355,2
-0.641,4.454,5.972,2
-1.905,4.569,5.915,2
-2.308,3.669,10.84,2
-1.618,2.213,16.89,2
-0.43,1.619,16.24,2
-0.143,2.481,10.51,2
-0.086,3.458,6.144,2
-0.028,3.803,4.497,2
-0.45,3.975,5.033,2
-0.622,4.282,6.087,2
-0.488,4.416,6.508,2
-1.561,4.531,6.547,2
-2.384,4.014,10.42,2
-1.79,2.424,16.72,2
-0.756,1.638,17.58,2
-0.277,2.462,11.89,2
0.047,3.209,6.815,2
0.296,3.86,4.018,2
-0.22,4.09,4.823,2
-0.411,4.32,6.259,2
-0.335,4.473,6.451,2
-1.235,4.607,6.355,2
-2.403,4.243,9.592,2
-2.078,2.883,15.86,2
-0.986,1.696,17.92,2
0.143,2.136,12.64,2
-0.086,3.037,7.6,2
-0.047,3.899,4.095,2
-0.086,3.918,4.459,2
-0.43,4.358,5.704,2
-0.45,4.473,5.819,2
-1.158,4.761,5.417,2
-2.269,3.822,11.97,2
-1.905,2.29,17.98,2
-1.273,1.83,18.35,2
0.009,2.002,13.71,2
-0.028,2.845,8.596,2
0.316,3.707,4.248,2
0.086,3.784,4.286,2
-0.45,4.109,5.206,2
-0.354,4.282,5.838,2
-0.641,4.454,5.666,2
-2.212,3.937,10.45,2
-1.79,2.462,16.89,2
-0.775,1.677,17.62,2
-0.277,1.887,15.03,2
-0.067,2.634,9.592,2
0.067,3.592,5.455,2
0.277,3.841,4.172,2
-0.316,4.205,5.685,2
-0.105,4.358,5.397,2
-1.024,4.588,5.455,2
-2.154,4.148,8.864,2
-2.231,3.63,12.18,2
-1.944,2.136,18.25,2
-0.316,1.638,16.55,2
0.047,2.826,8.577,2
0.028,3.343,6.489,2
-0.507,4.052,5.302,2
-0.258,3.975,5.781,2
0.047,4.167,5.685,2
0.143,4.512,5.493,2
-2.423,4.224,5.187,2
-1.197,4.492,7.677,2
-2.174,2.539,16.53,2
-0.718,1.696,17.43,2
-0.009,1.619,14.11,2
0.316,3.554,5.321,2
0.277,3.841,3.98,2
-0.316,4.148,5.244,2
-0.737,4.377,6.681,2
-0.775,4.607,6.604,2
-1.446,4.914,6.47,2
-1.963,3.937,11.01,2
-1.273,2.692,16.05,2
-0.737,2.117,16.93,2
-0.105,2.366,11.66,2
0.603,3.324,6.24,2
0.296,3.726,4.267,2
0.067,3.975,3.75,2
-0.66,4.32,6.164,2
-0.814,4.588,6.719,2
-1.676,4.588,7.696,2
-2.384,4.128,12.1,2
-0.794,2.768,14.76,2
0.852,2.098,14.13,2
0.43,1.792,12.68,3
0.718,3.822,3.884,3
-2.059,2.481,14.8,3
-0.047,2.749,7.485,3
-0.067,4.243,4.363,3
0.641,1.025,17.04,3
0.335,3.209,4.957,3
-2.442,3.745,7.658,3
0.392,1.83,11.03,3
0.392,3.956,3.367,3
-0.756,1.064,18.29,3
0.143,3.017,5.455,3
-1.714,4.32,5.187,3
0.699,0.757,16.24,3
0.526,3.381,3.846,3
-3.457,3.745,10.03,3
-0.143,2.213,10.11,3
0.641,4.052,3.003,3
-0.852,1.16,18.75,3
0.028,3.209,4.861,3
-1.35,4.512,5.014,3
0.814,1.064,15.59,3
0.488,3.63,3.903,3
-3.668,3.573,11.99,3
-0.411,2.749,8.788,3
0.89,4.109,3.137,3
-1.388,2.021,17.29,3
0.067,2.903,7.313,3
-2.518,4.856,6.03,3
0.028,1.734,14.25,3
0.469,3.899,3.329,3
-3.265,3.477,13.58,3
-0.603,2.96,7.849,3
0.162,4.531,2.601,3
-0.239,1.523,18.73,3
-0.43,3.535,5.397,3
-2.729,4.722,6.987,3
0.162,2.041,12.54,3
0.526,4.128,3.252,3
-2.078,2.749,15.78,3
-0.43,3.439,5.895,3
-0.296,4.665,4.191,3
0.545,1.236,18.19,3
-0.067,3.841,3.827,3
-2.94,4.492,8.175,3
0.373,2.213,11.51,3
0.526,4.512,2.448,3
-1.005,1.887,17.64,3
-0.086,3.381,5.474,3
-1.12,4.799,4.306,3
0.814,1.16,17.16,3
0.488,3.726,3.386,3
-2.595,3.803,10.09,3
-0.028,2.539,9.477,3
0.316,4.416,3.003,3
-0.909,1.562,18.98,3
-0.296,3.573,4.306,3
-1.522,4.856,4.899,3
0.986,1.025,17.37,3
0.488,3.86,2.486,3
-3.131,3.994,10.86,3
-0.067,2.692,9.19,3
0.373,4.512,2.658,3
-0.296,1.37,19.02,3
0.22,3.592,4.037,3
-2.384,5.086,5.589,3
0.45,1.734,14.57,3
0.565,4.128,2.333,3
-2.499,3.19,14.23,3
-0.162,2.864,7.389,3
0.22,4.473,2.467,3
0.086,1.16,19.57,3
-0.028,3.841,3.444,3
-2.844,4.646,6.508,3
0.45,1.715,13.1,3
0.622,3.994,2.773,3
-2.269,2.807,15.43,3
-0.335,3.037,6.374,3
-0.22,4.473,3.348,3
0.469,1.083,18.86,3
0.316,3.726,3.118,3
-3.246,4.684,8.002,3
0.028,2.213,11.95,3
0.469,4.243,2.735,3
-2.097,2.634,16.32,3
-0.162,3.247,5.666,3
-0.488,4.435,4.286,3
0.641,1.179,17.91,3
0.411,4.033,2.907,3
-3.438,4.646,8.443,3
-0.009,2.385,10.76,3
0.603,4.32,2.907,3
-1.331,1.964,17.87,3
-0.162,3.381,4.957,3
-1.503,4.818,4.057,3
1.005,1.102,17.24,3
0.316,4.224,2.812,3
-3.419,4.263,10.24,3
0.239,2.462,9.592,3
-0.162,4.55,3.099,3
-0.603,1.581,17.96,3
0.028,3.286,4.593,3
-2.039,4.799,5.244,3
0.756,1.523,15.97,3
0.124,4.071,4.057,3
-3.61,4.186,11.78,3
-0.009,2.673,8.634,3
1.082,4.224,2.946,3
-0.928,1.811,17.85,3
-0.22,3.956,4.555,3
-2.327,4.99,6.585,3
0.507,2.002,13.35,3
0.641,4.109,3.827,3
-2.212,3.803,12.39,3
0.679,2.558,7.945,3
-0.143,4.914,3.578,3
-0.603,2.041,17.79,3
-0.028,4.09,3.635,3
-2.25,4.914,6.93,3
0.909,1.964,12.39,3
0.794,4.377,3.539,3
-2.231,3.516,14.34,3
-0.22,3.477,6.451,3
-0.162,4.875,4.248,3
0.277,1.447,18.88,3
0.143,3.822,3.482,3
-2.499,5.029,6.489,3
0.373,2.213,12.14,3
0.584,4.435,3.214,3
-2.059,3.094,16.49,3
-0.277,3.477,5.57,3
-0.316,4.952,3.903,3
0.162,1.409,19.05,3
0.641,4.033,2.639,3
-2.633,4.569,8.117,3
-0.335,2.462,11.47,3
0.143,4.454,3.137,3
-1.024,1.887,18.71,3
-0.354,3.477,4.957,3
-0.584,4.761,4.535,3
0.43,1.351,17.96,3
0.296,4.224,2.601,3
-2.844,3.707,13.42,3
-0.105,2.558,9.841,3
0.679,4.473,2.314,3
-1.369,2.002,18.58,3
-0.143,3.535,4.421,3
-1.388,4.895,4.746,3
0.181,1.543,17.16,3
0.43,4.339,2.352,3
-3.093,4.167,11.07,3
-0.392,2.826,8.788,3
0.756,4.569,2.773,3
-0.89,2.098,18.1,3
-0.201,3.822,3.616,3
-1.829,4.799,5.876,3
0.239,1.926,14.28,3
0.641,4.512,2.888,3
-2.576,3.745,13.25,3
-0.469,3.324,7.179,3
0.067,4.856,3.386,3
-0.143,1.753,18.9,3
0.335,4.071,3.405,3
-2.384,4.703,7.677,3
0.143,2.424,11.58,3
0.66,4.856,2.448,3
-1.963,2.922,15.65,3
