acceleration_x,acceleration_y,acceleration_z,activity
-1.082,1.102,17.56,3
1.637,3.267,5.11,3
-1.81,4.148,10.88,3
0.488,1.926,9.382,3
1.254,3.401,3.29,3
-2.078,3.611,11.62,3
1.503,1.581,4.708,3
-1.925,2.749,2.333,3
-7.077,0.968,6.508,3
-2.691,-0.238,0.934,3
-8.322,-4.873,8.5,3
-13.49,-4.777,2.256,3
-12.06,-8.244,0.858,3
-20.2,-5.946,3.52,3
-12.1,-5.007,1.069,3
-12.71,-4.873,0.092,3
-9.816,-3.743,-4.638,3
-3.744,-6.405,0.092,3
-9.146,-4.835,1.758,3
-3.706,-5.812,1.088,3
-8.878,-6.597,0.781,3
-9.51,-5.658,10.49,3
-4.587,-6.329,-6.42,3
-7.249,-11.52,-0.865,3
-4.74,-10.35,3.961,3
-9.203,-8.895,0.762,3
-9.797,-5.735,5.225,3
-6.541,-4.471,1.662,3
-12.44,-4.375,2.199,3
-6.119,-5.39,0.724,3
-1.79,-5.62,2.16,3
-6.732,-5.888,3.635,3
-5.372,-6.195,1.624,3
-9.701,-6.252,6.202,3
-10.6,1.14,-2.512,3
-5.506,-2.632,-0.999,3
-9.95,-2.9,1.452,3
-14.38,2.749,0.59,3
-8.705,-3.743,-1.133,3
-13.48,-2.689,-2.378,3
-5.851,-6.539,-4.945,3
-10.41,-1.885,-2.053,3
-4.989,-4.643,1.452,3
-5.43,-6.903,0.571,3
-13.76,-6.501,-1.784,3
-2.365,-5.984,-2.455,3
-4.683,-3.743,-0.865,3
-1.752,-6.195,1.088,3
-11.85,-22.46,-4.753,3
7.996,-15.04,2.773,3
-1.12,-4.528,-1.535,3
-4.357,-10.2,-1.229,3
-1.465,-9.834,1.222,3
-4.664,-5.697,0.59,3
-7.901,-19.26,-1.784,3
-1.254,-4.222,1.145,3
-6.273,-13.53,2.697,3
-3.936,-7.382,-1.976,3
-2.767,-4.528,1.069,3
-9.49,-18.05,3.635,3
-2.806,-4.95,-3.202,3
-5.411,-10.31,2.045,3
-3.821,-10.37,0.992,3
-1.656,-4.069,0.226,3
-8.552,-17.84,3.214,3
-3.878,-5.831,-3.508,3
-4.012,-7.344,0.896,3
-7.211,-14.39,2.85,3
-1.714,-4.471,-0.539,3
-6.598,-14.3,2.582,3
-4.204,-8.11,-3.623,3
-2.633,-4.184,0.896,3
-9.05,-18.28,3.463,3
-2.403,-5.448,-3.508,3
-4.913,-9.891,2.122,3
-4.951,-10.06,2.237,3
-2.02,-4.164,0.341,3
-8.839,-17.32,3.405,3
-2.844,-6.731,-5.5,3
-3.84,-6.942,1.586,3
-7.786,-14.45,3.463,3
-2.097,-4.624,-0.559,3
-7.039,-14.35,2.965,3
-3.61,-8.072,-5.06,3
-2.959,-4.567,1.279,3
-8.494,-15.71,3.712,3
-2.518,-5.333,-2.627,3
-5.162,-10.29,2.524,3
-4.683,-9.891,0.283,3
-2.135,-4.069,0.781,3
-9.031,-17.65,3.501,3
-2.652,-6.712,-6.19,3
-3.821,-7.114,1.911,3
-5.966,-10.77,1.394,3
-2.116,-4.567,-0.405,3
-6.905,-14.09,3.099,3
-3.84,-8.091,-5.117,3
-2.978,-4.413,1.318,3
-8.475,-16.1,3.578,3
-2.461,-5.505,-3.489,3
-5.219,-10.35,2.582,3
-3.993,-8.666,-3.987,3
-1.848,-3.724,0.781,3
-8.992,-17.94,3.482,3
-2.748,-6.52,-6.381,3
-3.84,-6.923,1.93,3
-6.024,-10.94,2.371,3
