acceleration_x,acceleration_y,acceleration_z,activity
-0.814,4.703,1.26,5
1.101,1.811,13.86,5
-1.599,3.056,10.47,5
0.411,3.477,6.719,5
0.047,1.849,16.28,5
-0.89,4.703,1.892,5
1.292,1.581,15.59,5
-1.714,3.477,8.749,5
0.603,3.056,8.29,5
-0.009,1.907,15.09,5
-0.526,4.684,0.762,5
1.063,1.619,16.33,5
-1.925,3.937,7.619,5
-0.143,4.071,5.474,5
-0.507,2.251,14.52,5
-0.469,4.761,1.356,5
1.158,1.581,16.55,5
-1.829,4.282,6.068,5
0.584,3.401,6.662,5
-0.507,2.385,13.14,5
-0.373,4.856,1.509,5
1.216,1.638,15.82,5
-1.886,4.607,4.88,5
0.201,3.267,8.194,5
-1.388,2.749,12.12,5
-0.239,4.454,2.275,5
0.775,1.523,16.18,5
-1.58,4.588,3.233,5
0.967,2.558,9.994,5
-0.814,2.519,13.52,5
-0.162,4.55,3.367,5
0.986,1.658,16.85,5
-1.235,4.933,2.122,5
0.814,2.462,11.14,5
-0.679,2.5,12.91,5
-0.143,4.263,3.942,5
0.814,1.772,16.6,5
-1.139,5.201,0.992,5
0.852,2.194,12.71,5
-1.426,2.96,11.62,5
-0.047,3.822,6.106,5
0.354,1.753,16.14,5
-1.216,4.703,2.007,5
1.35,1.581,14.52,5
-1.848,3.267,9.573,5
0.277,3.381,7.428,5
-0.105,1.964,15.7,5
-0.105,1.964,15.7,5
-0.105,1.964,15.7,5
0.89,1.658,15.63,5
0.373,3.228,8.232,5
-0.737,4.837,1.413,5
-1.426,4.492,4.306,5
-1.158,2.654,12.71,5
0.814,1.543,16.91,5
0.622,2.194,12.45,5
-0.124,3.918,5.091,5
-1.101,4.512,3.271,5
-1.522,3.726,7.581,5
-0.22,2.079,14.76,5
0.871,1.677,16.26,5
0.565,2.922,9.075,5
0.143,4.377,2.371,5
-1.216,4.626,2.601,5
-1.561,3.017,10.99,5
0.086,1.887,16.64,5
0.603,2.845,9.535,5
0.296,3.63,5.991,5
-0.545,4.799,1.394,5
-1.867,4.09,6.642,5
-0.66,2.366,13.92,5
0.622,1.734,16.45,5
0.526,2.788,10.03,5
-0.277,4.722,1.586,5
-1.618,4.128,6.24,5
-1.695,3.209,10.17,5
-0.162,2.041,16.16,5
1.024,1.887,14.23,5
0.316,3.611,6.528,5
-0.392,4.837,1.662,5
-1.752,3.362,9.765,5
-0.852,2.519,13.35,5
0.909,1.658,16.77,5
0.833,2.5,10.97,5
0.086,4.282,3.674,5
-0.814,4.856,1.509,5
-0.871,2.539,13,5
1.024,1.619,16.79,5
1.12,1.715,15.34,5
0.718,3.247,7.638,5
-0.181,4.761,1.567,5
-1.637,4.607,4.976,5
0.316,1.887,15.84,5
1.541,1.581,14.98,5
1.005,2.309,11.6,5
-0.258,4.875,1.662,5
-0.967,5.105,1.432,5
-1.81,3.784,8.385,5
-0.181,2.06,15.07,5
0.469,2.29,12.35,5
0.239,3.247,8.328,5
-0.871,4.914,1.318,5
-1.867,3.822,7.926,5
-1.446,2.903,11.74,5
0.775,1.6,16.22,5
-0.143,3.209,9.075,5
-0.488,4.588,2.486,5
-1.254,4.665,3.444,5
-1.58,3.075,11.66,5
0.737,1.543,16.68,5
0.679,2.098,12.83,5
0.105,4.109,4.784,5
-0.948,4.99,1.777,5
-2.231,4.128,8.577,5
-0.162,2.098,14.21,5
1.733,1.236,14.55,5
