acceleration_x,acceleration_y,acceleration_z
-12.11,-3.183,1.114
-11.22,-3.521,2.359
-10.21,-4.1,2.165
-8.627,-5.36,2.122
-8.167,-5.353,2.093
-8.181,-4.141,1.516
-8.854,-4.388,1.312
-9.357,-4.713,1.569
-10.36,-3.858,1.226
-11.09,-2.69,0.7999
-11.25,-3.978,1.133
-12.03,-3.511,0.6371
-12.4,-3.856,0.9173
-11.85,-2.915,0.2682
-11.85,-1.95,0.4072
-10.54,-1.837,0.7664
-9.824,-0.7401,0.2012
-9.111,-0.03832,-0.1988
-9.094,0.7185,-0.04072
-8.816,0.9939,-0.01198
-9.844,-0.5652,0.2611
-10.29,-1.157,0.3377
-11.55,-2.151,0.7161
-12.49,-2.405,0.6443
-12.96,-3.444,0.7616
-12.6,-3.839,1.657
-12.26,-3.638,1.624
-10.99,-3.815,1.471
-10.16,-4.182,1.375
-9.266,-3.916,1.413
-8.639,-4.242,1.53
-8.351,-4.486,1.451
-8.435,-4.289,1.018
-8.929,-4.256,0.7544
-10.05,-3.624,0.5628
-10.72,-3.078,0.4239
-11.4,-2.999,0.309
-12.11,-2.544,0.4958
-12.47,-1.811,0.4479
-11.97,-1.851,0.5509
-11.86,-0.7281,0.5509
-10.93,-0.6946,0.2682
-10.99,0.4455,-0.1413
-10.15,0.2275,-0.3976
-9.863,2.098,-0.479
-9.336,2.175,-0.6538
-9.59,1.401,-0.6083
-10.62,0.4383,-0.2132
-11.62,-0.6922,0.02635
-12.54,-1.71,0.3497
-13,-3.001,0.9867
-12.72,-3.267,1.533
-11.85,-3.245,1.296
-10.67,-3.298,1.145
-9.891,-3.506,1.061
-8.938,-4,1.188
-8.591,-4.548,1.341
-8.215,-4.749,1.186
-8.383,-4.297,1.049
-9.06,-3.88,0.9796
-9.944,-3.128,0.9149
-10.73,-2.814,0.8742
-11.63,-3.128,0.9676
-11.95,-3.346,0.7544
-12.79,-3.763,1.351
-12.82,-3.013,1.042
-12.64,-3.382,1.205
-11.77,-1.485,0.7784
-10.01,-0.5149,0.2922
-9.214,-0.05748,-0.4215
-8.689,0.5461,-0.3329
-8.608,1.138,-0.103
-9.154,-0.01916,-0.309
-9.652,-0.3808,-0.3545
-11.11,-1.959,0.01198
-12.17,-3.023,-0.4886
-12.74,-4.481,1.061
-12.62,-1.461,0.673
-12.24,-2.644,0.8862
-11.13,-1.928,1.411
-10.38,-1.976,2.445
-10.66,-4.337,2.975
-8.531,-6.534,2.539
-8.545,-4.979,2.153
-8.955,-5.365,2.361
-9.417,-3.602,2.11
-10.31,-2.773,2.555
-10.56,-1.471,2.239
-11.52,-2.709,2.388
-11.86,-2.606,2.103
-13.06,-2.457,1.784
-12.75,-2.053,1.557
-13.06,-0.0982,1.023
-11.67,-0.4191,1.26
-9.841,-0.5988,0.8407
-7.973,-0.2802,-0.103
-8.244,-1.118,0.5269
-7.736,-0.5365,-0.3018
-8.239,-0.752,-0.5485
-8.629,-0.946,-0.2395
-9.822,-1.456,0.6586
-10.9,-1.586,1.478
-11.92,-1.332,2.002
-12.15,-1.756,2.529
-12.49,-1.083,2.299
-12.59,-2.663,3.037
-11.41,-2.122,2.884
-10.93,-2.563,4.663
-10.02,-2.158,5.461
-8.85,-2.407,5.887
-8.907,-1.887,5.556
-9.218,-1.882,4.991
-9.597,-1.906,4.304
-10.32,-1.863,3.748
-11.2,-1.451,3.075
-12.04,-1.727,2.376
-12.84,-2.304,2.211
-12.55,-2.56,2.323
-12.84,-3.71,2.139
-12.51,-1.545,1.169
-10.68,-0.5149,0.7089
-9.836,0.4263,-0.1437
-7.7,0.3137,-0.503
-7.142,0.01198,0.2371
-7.355,-0.2156,0.4527
