acceleration_x,acceleration_y,acceleration_z,activity
-0.5844,1.317,9.753,1
-0.5652,1.643,9.683,1
-0.7161,1.897,9.76,1
-0.7592,1.947,9.836,1
-0.6586,1.648,10.2,1
-0.7999,1.209,10.32,1
-0.8814,0.9173,10.55,1
-0.3664,0.9724,10.74,1
0.09101,1.178,10.39,1
-0.5676,1.475,8.785,1
-2.505,1.32,7.369,1
-0.03353,1.526,8.852,1
-0.7449,1.954,8.886,1
-0.6083,2.12,8.969,1
-0.6419,1.997,9.412,1
-1.023,1.94,9.784,1
-1.791,1.942,9.683,1
-1.245,2.453,9.81,1
-0.8335,2.577,10.02,1
-0.788,2.56,10.04,1
-0.7928,2.285,9.951,1
-0.8502,1.997,9.753,1
-1.004,2.357,9.477,1
-0.9125,3.068,9.194,1
-0.7041,3.284,9.091,1
-0.7904,3.114,9.125,1
-0.8814,2.766,9.108,1
-0.9412,2.453,9.214,1
-0.9365,2.316,9.259,1
-0.982,2.441,9.159,1
-1.023,2.826,9.223,1
-1.044,3.097,9.307,1
-1.092,3.269,9.233,1
-1.2,3.367,9.242,1
-1.351,3.214,9.221,1
-1.358,2.881,9.525,1
-1.322,2.522,9.76,1
-1.267,2.333,9.808,1
-1.176,2.273,9.69,1
-1.121,2.35,9.489,1
-1.051,2.517,9.247,1
-1.097,2.675,9.058,1
-1.262,2.896,8.852,1
-1.289,3.058,8.646,1
-1.368,3.092,8.603,1
-1.346,2.996,8.565,1
-1.43,2.838,8.78,1
-1.473,2.603,9.226,1
-1.54,2.479,9.475,1
-1.533,2.419,9.657,1
-1.497,2.457,9.575,1
-1.538,2.618,9.508,1
-1.382,2.733,9.377,1
-1.31,2.881,9.283,1
-1.375,2.979,9.127,1
-1.394,3.006,9.053,1
-1.459,3.073,8.991,1
-1.492,2.963,9.08,1
-1.454,2.884,9.266,1
-1.346,2.759,9.482,1
-1.336,2.666,9.611,1
-1.317,2.687,9.525,1
-1.339,2.757,9.36,1
-1.456,2.884,9.149,1
-1.497,2.984,9.029,1
-1.454,3.114,8.972,1
-1.588,3.104,8.977,1
-1.705,3.061,8.933,1
-1.801,3.039,8.991,1
-1.854,2.814,9.151,1
-2.005,2.544,9.441,1
-1.926,2.69,9.403,1
-1.854,2.79,9.353,1
-1.863,2.905,9.302,1
-1.832,2.936,9.216,1
-1.835,2.977,9.125,1
-1.914,3.025,9.08,1
-1.911,3.078,9.094,1
-1.973,3.037,9.056,1
-1.904,2.912,9.06,1
-1.763,2.884,9.19,1
-1.698,2.96,9.226,1
-1.607,2.984,9.228,1
-1.688,3.025,9.175,1
-1.724,3.018,9.154,1
-1.751,2.929,9.053,1
-1.789,2.809,8.967,1
-1.669,2.644,9.041,1
-1.576,2.596,9.041,1
-1.619,2.441,9.072,1
-1.727,2.445,8.945,1
-1.868,2.333,8.818,1
-2.12,2.237,8.713,1
-2.326,2.057,8.739,1
-2.409,2.117,8.921,1
-2.405,2.136,8.89,1
-2.474,2.045,8.965,1
-2.539,2.002,9.053,1
-2.675,1.926,8.95,1
-2.888,1.875,8.852,1
-2.979,1.983,8.737,1
-3.183,2.067,8.644,1
-3.264,2.156,8.557,1
-3.389,2.249,8.529,1
-3.432,2.311,8.541,1
-3.463,2.366,8.543,1
-3.449,2.33,8.668,1
-3.504,2.153,8.704,1
-3.499,2.151,8.778,1
-3.549,2.251,8.756,1
-3.451,2.376,8.536,1
-3.497,2.577,8.38,1
-3.59,2.778,8.174,1
-3.696,2.857,8.062,1
-3.837,2.934,7.856,1
-3.935,3.02,7.652,1
-3.992,3.171,7.604,1
-4.06,3.267,7.475,1
-4.175,3.286,7.487,1
-4.349,3.3,7.446,1
-4.402,3.315,7.405,1
-4.457,3.358,7.362,1
-4.517,3.324,7.494,1
-4.572,3.135,7.535,1
-4.472,2.905,7.643,1
-4.311,2.721,7.81,1
-4.098,2.613,7.863,1
-3.928,2.639,7.918,1
-3.894,2.812,7.997,1
-3.849,3.027,7.863,1
-3.799,3.087,7.736,1
-3.995,2.967,8.021,1
-4.22,2.74,8.399,1
-4.354,2.33,8.665,1
-4.371,1.952,8.847,1
-4.347,1.674,9.072,1
-4.196,1.645,9.283,1
-4.06,1.693,9.151,1
-4.112,1.648,8.83,1
-4.22,1.82,8.73,1
-4.213,2.146,8.708,1
-4.148,2.467,8.469,1
-4.129,2.706,8.33,1
-4.182,2.757,7.803,1
-4.177,2.757,7.259,1
-4.024,2.687,7.005,1
-3.827,2.512,6.948,1
-3.676,2.158,7.269,1
-3.581,1.868,7.841,1
-3.415,1.624,8.325,1
-3.24,1.581,8.404,1
-3.202,1.765,8.292,1
-3.353,1.686,8.21,1
-3.37,1.478,8.375,1
-3.221,1.48,8.457,1
-3.166,1.38,8.555,1
-3.202,1.023,8.715,1
-3.042,0.7161,8.931,1
-3.023,0.6562,9.183,1
-3.315,0.7353,9.669,1
-3.365,0.7856,9.903,1
-3.552,0.8718,10.02,1
-3.854,0.7664,10.15,1
-3.834,0.6491,10.22,1
-3.605,0.5293,10.14,1
-3.494,0.6059,9.949,1
-3.327,0.9915,9.434,1
-3.442,1.279,8.907,1
-3.554,1.435,8.505,1
-3.775,1.418,8.799,1
-3.736,1.164,9.053,1
-3.803,1.289,8.756,1
-3.99,1.523,8.85,1
-3.969,1.593,8.874,1
-4.024,1.439,8.936,1
-4.141,1.267,8.725,1
-4.294,1.365,8.675,1
-4.313,1.533,8.624,1
-4.392,1.803,8.395,1
-4.551,2.045,8.359,1
-4.675,1.971,8.277,1
-4.718,1.904,8.292,1
-4.764,1.715,8.44,1
-4.958,1.339,8.332,1
-5.288,1.133,8.44,1
-5.597,1.317,8.354,1
-5.676,1.59,8.066,1
-5.779,1.772,7.966,1
-5.753,1.806,7.904,1
-5.887,1.756,7.829,1
-6.069,1.597,7.868,1
-6.476,1.456,7.707,1
-6.991,1.365,7.578,1
-7.403,1.358,7.381,1
-7.753,1.365,7.348,1
-7.784,1.466,7.29,1
-7.643,1.588,7.168,1
-7.604,1.593,6.761,1
-7.774,1.248,6.742,1
-7.983,0.9891,6.776,1
-8.071,0.8239,6.843,1
-8.117,0.8933,6.907,1
-8.145,1.092,7.049,1
-8.014,1.083,6.984,1
-7.86,1.14,6.926,1
-7.652,1.051,6.764,1
-7.465,0.9556,6.653,1
-7.324,1.027,6.447,1
-7.295,1.011,6.328,1
-7.329,0.6395,6.383,1
-7.283,0.3114,6.524,1
-7.314,0.1389,6.649,1
-7.24,0.01437,6.51,1
-7.008,0.1389,6.438,1
-6.926,0.3497,6.514,1
-7.075,0.3425,6.428,1
-7.31,0.3904,6.198,1
-7.398,0.5101,5.774,1
-7.477,0.4694,5.734,1
-7.676,0.2203,5.81,1
-7.705,-0.2898,6.318,1
-7.781,-0.6419,6.72,1
-8.031,-0.503,7.022,1
-8.289,-0.1341,6.991,1
-8.395,0.02395,6.546,1
-8.433,-0.02874,6.067,1
-8.179,0.1126,5.635,1
-8.21,0.03593,5.441,1
-8.057,-0.17,5.379,1
-7.966,-0.3209,5.444,1
-7.916,-0.2658,5.734,1
-7.93,-0.1054,5.865,1
-7.978,0.2587,5.762,1
-8.04,0.3736,5.832,1
-8.167,0.3808,5.671,1
-8.062,0.285,5.437,1
-7.973,0,5.269,1
-7.801,-0.182,5.238,1
-7.774,-0.05509,5.415,1
-7.781,0.4646,5.609,1
-8.04,0.8646,5.777,1
-8.203,1.138,5.798,1
-8.208,1.006,5.947,1
-8.131,0.7664,5.916,1
-7.939,0.5317,5.779,1
-7.781,0.2395,5.791,1
-7.82,0.03353,6.1,1
-7.858,0.00958,6.196,1
-7.961,0.3473,6.038,1
-7.995,0.6491,5.887,1
-8.002,0.6802,5.803,1
-7.932,0.764,5.686,1
-8.119,0.3784,5.784,1
-8.126,0.1078,5.681,1
-8.268,-0.2994,5.264,1
-8.969,-1.954,5.76,1
-9.403,-2.448,6.97,1
-9.633,-1.688,7.755,1
-9.793,-0.752,7.463,1
-9.712,0.1461,7.401,1
-9.161,0.7329,7.365,1
-8.44,1.217,7.058,1
-8.126,1.605,7.219,1
-8.042,1.763,7.149,1
-7.813,1.964,7.262,1
-7.633,1.751,7.377,1
-7.731,1.396,7.551,1
-7.789,1.145,7.422,1
-7.901,1.051,7.338,1
-7.992,0.8694,7.207,1
-8.117,0.752,7.25,1
-8.229,0.5988,7.243,1
-8.15,0.4886,7.25,1
-7.99,0.4958,7.266,1
-7.777,0.4958,7.197,1
-7.523,0.4527,7.092,1
-7.319,0.4742,7.041,1
-7.235,0.5341,6.946,1
-7.341,0.6107,6.761,1
-7.463,0.6993,6.517,1
-7.556,0.7496,6.411,1
-7.573,0.7233,6.239,1
-7.559,0.673,6.126,1
-7.556,0.5245,6.069,1
-7.518,0.4814,6.059,1
-7.528,0.479,6.055,1
-7.496,0.594,6.028,1
-7.513,0.6586,6.031,1
-7.451,0.8478,6.04,1
-7.379,0.8239,6.134,1
-7.338,0.7449,6.203,1
-7.286,0.6203,6.428,1
-7.317,0.5485,6.646,1
-7.324,0.3281,6.768,1
-7.302,0.1677,6.852,1
-7.29,0.08862,6.953,1
-7.271,0.08143,6.871,1
-7.24,0.1293,6.835,1
-7.25,0.1078,6.828,1
-7.276,0.1653,6.78,1
-7.252,0.3281,6.673,1
-7.252,0.4527,6.562,1
-7.178,0.4598,6.414,1
-7.164,0.4143,6.416,1
-7.147,0.4335,6.373,1
-7.211,0.3808,6.282,1
-7.149,0.3808,6.251,1
-7.197,0.3952,6.342,1
-7.183,0.5101,6.323,1
-7.187,0.7544,6.27,1
-7.3,0.867,6.253,1
-7.322,0.9077,6.227,1
-7.324,0.776,6.186,1
-7.343,0.7017,6.237,1
-7.324,0.6826,6.304,1
-7.341,0.6275,6.402,1
-7.355,0.6443,6.435,1
-7.355,0.6131,6.404,1
-7.307,0.5868,6.507,1
-7.391,0.5772,6.526,1
-7.391,0.6634,6.5,1
-7.439,0.7137,6.44,1
-7.353,0.7904,6.471,1
-7.278,0.7353,6.421,1
-7.233,0.7065,6.55,1
-7.159,0.7353,6.45,1
-7.231,0.7305,6.347,1
-7.183,0.7113,6.392,1
-7.219,0.7017,6.318,1
-7.192,0.7185,6.265,1
-7.214,0.7185,6.114,1
-7.175,0.6035,6.148,1
-7.257,0.5245,6.215,1
-7.384,0.558,6.332,1
-7.544,0.6059,6.457,1
-7.609,0.491,6.481,1
-7.54,0.5461,6.558,1
-7.499,0.4383,6.574,1
-7.482,0.4359,6.675,1
-7.379,0.3114,6.692,1
-7.326,0.2682,6.735,1
-7.307,0.2467,6.764,1
-7.31,0.2084,6.704,1
-7.247,0.2251,6.73,1
-7.252,0.1964,6.735,1
-7.286,0.3114,6.644,1
-7.317,0.3497,6.562,1
-7.338,0.2539,6.476,1
-7.271,0.2132,6.491,1
-7.329,0.2563,6.536,1
-7.31,0.3257,6.445,1
-7.338,0.467,6.431,1
-7.326,0.5628,6.268,1
-7.324,0.5317,6.215,1
-7.305,0.4838,6.217,1
-7.3,0.4958,6.205,1
-7.358,0.5173,6.189,1
-7.401,0.6347,6.22,1
-7.408,0.6227,6.241,1
-7.389,0.5461,6.174,1
-7.341,0.4862,6.227,1
-7.298,0.5844,6.301,1
-7.434,0.6898,6.282,1
-7.456,0.5341,6.277,1
-7.434,0.4287,6.373,1
-7.446,0.5221,6.399,1
-7.429,0.6083,6.462,1
-7.472,0.6467,6.45,1
-7.484,0.6107,6.519,1
-7.487,0.4263,6.467,1
-7.425,0.3473,6.447,1
-7.441,0.4143,6.402,1
-7.386,0.4886,6.407,1
-7.377,0.4862,6.471,1
-7.415,0.479,6.457,1
-7.408,0.4551,6.5,1
-7.506,0.4742,6.376,1
-7.449,0.5101,6.337,1
-7.47,0.5317,6.361,1
-7.475,0.4934,6.261,1
-7.46,0.4814,6.308,1
-7.391,0.3832,6.232,1
-7.35,0.3497,6.174,1
-7.372,0.3808,6.076,1
-7.355,0.3521,6.114,1
-7.384,0.3257,6.088,1
-7.29,0.4574,6.098,1
-7.293,0.4622,6.237,1
