acceleration_x,acceleration_y,acceleration_z,activity
-0.028,4.416,3.731,6
0.699,2.979,11.41,6
0.699,2.041,14.48,6
-1.905,4.703,3.693,6
0.565,4.377,5.263,6
0.948,2.558,14.32,6
-2.097,3.937,9.86,6
-1.714,4.895,2.39,6
0.909,2.462,13.52,6
-0.411,2.347,14.23,6
-2.729,4.818,4.708,6
0.526,3.726,7.562,6
0.986,2.002,15.38,6
-2.059,3.381,12.02,6
-0.871,4.626,3.444,6
0.565,2.941,11.53,6
-1.465,2.979,12.24,6
-2.097,4.99,2.582,6
0.373,4.09,5.761,6
0.086,2.213,15.43,6
-2.48,4.473,8.5,6
-0.928,5.029,2.084,6
1.656,2.079,14.76,6
-0.296,2.309,14.15,6
-1.867,5.373,1.203,6
1.139,3.305,8.596,6
0.986,1.811,16.68,6
-2.901,5.22,4.842,6
-0.871,4.684,3.137,6
0.565,2.634,13.12,6
-1.829,3.305,11.18,6
-1.848,5.029,1.758,6
1.407,2.481,12.33,6
0.565,1.83,15.22,6
-2.423,4.588,6.279,6
0.679,3.803,5.934,6
1.12,2.021,14.99,6
-2.518,4.263,8.807,6
-1.369,4.856,2.582,6
1.043,2.96,10.44,6
-1.005,2.519,13.31,6
-2.461,4.971,4.018,6
0.737,4.014,5.148,6
0.794,2.002,15.34,6
-2.25,3.803,10.32,6
-0.22,4.569,3.731,6
1.024,2.788,12.14,6
0.22,2.232,14.82,6
-2.423,4.78,6.585,6
0.775,4.167,5.532,6
0.967,2.539,14.92,6
-2.25,4.301,9.19,6
-1.139,5.067,1.892,6
1.082,2.443,14.34,6
-0.641,2.519,14.21,6
-2.633,5.086,3.482,6
0.814,3.63,7.964,6
1.082,1.811,16.24,6
-1.752,3.496,11.37,6
-0.871,4.761,3.31,6
0.948,2.788,12.39,6
-1.79,3.286,11.97,6
-1.733,4.818,1.586,6
0.794,3.765,6.01,6
0.296,1.696,15.84,6
-2.518,4.32,7.926,6
-1.139,5.01,2.007,6
0.679,2.424,15.11,6
-1.292,2.826,13.82,6
-1.407,4.952,1.95,6
1.12,3.152,9.018,6
0.469,1.868,15.57,6
-2.633,4.895,4.478,6
0.143,4.224,4.344,6
0.814,2.615,12.41,6
-2.384,3.439,11.37,6
-1.81,4.741,2.697,6
1.369,2.711,11.68,6
0.009,2.136,15.01,6
-2.959,4.626,7.753,6
0.507,4.148,5.436,6
1.139,2.251,14.38,6
-2.633,4.033,9.611,6
-1.484,4.99,1.643,6
0.718,3.439,8.864,6
-1.752,2.883,14.57,6
-2.863,5.086,4.152,6
0.411,4.301,3.654,6
0.814,1.964,15.68,6
-2.48,3.554,11.35,6
-0.277,4.531,2.716,6
0.775,2.692,12.71,6
-0.622,2.462,14.67,6
-2.039,5.029,1.835,6
0.392,4.033,5.761,6
0.507,2.098,14.84,6
-2.844,4.339,8.29,6
-0.967,4.875,1.95,6
-0.277,2.711,14.15,6
-1.771,2.749,13.48,6
-2.154,4.722,3.903,6
0.794,3.343,8.596,6
0.028,2.194,15.01,6
-2.633,3.918,9.745,6
0.047,4.358,4.037,6
0.718,2.673,12.62,6
-2.327,3.343,12.2,6
-1.771,4.952,2.333,6
0.641,4.109,6.03,6
0.067,2.156,15.34,6
-2.25,4.358,8.807,6
-0.526,4.741,2.582,6
0.45,2.634,13.96,6
-1.58,2.941,13.56,6
-1.177,4.914,1.873,6
0.871,3.65,8.271,6
0.43,2.175,14.84,6
-2.633,4.875,5.608,6
0.047,4.473,3.712,6
0.584,2.673,13,6
-2.288,3.305,12.02,6
-1.867,4.856,2.199,6
0.296,3.132,10.95,6
-0.833,2.443,14.42,6
-2.748,4.492,8.002,6
0.526,4.186,5.589,6
0.469,2.462,13.63,6
-2.346,3.918,9.535,6
-1.005,4.78,2.141,6
0.545,3.669,8.347,6
-0.814,2.539,14,6
-2.537,4.952,5.646,6
0.047,4.607,3.444,6
-0.067,2.615,14.67,6
-2.25,3.669,11.22,6
-0.354,4.607,3.482,6
0.584,3.094,11.43,6
-0.45,2.424,14.34,6
-2.518,4.531,6.528,6
0.584,4.09,6.068,6
0.22,2.481,13.84,6
-2.94,4.186,9.171,6
-1.292,4.569,3.29,6
0.718,3.477,9.133,6
-0.143,2.328,14.57,6
-2.71,4.722,5.263,6
0.641,3.784,8.251,6
0.277,2.29,14.44,6
-2.614,3.688,10.78,6
0.105,4.282,3.942,6
0.124,3.152,11.76,6
-2.48,3.381,12.27,6
-1.695,4.588,3.444,6
0.948,3.994,6.336,6
-0.296,2.251,14.36,6
-2.48,4.339,8.577,6
-0.66,4.531,3.31,6
0.105,2.558,14.5,6
