acceleration_x,acceleration_y,acceleration_z,activity
1.484,2.519,7.734,4
0.45,4.014,4.938,4
0.009,4.397,4.727,4
-1.944,3.745,9.937,4
-1.714,2.903,13.31,4
0.124,1.696,13.86,4
1.024,1.638,11.2,4
0.679,3.267,7.619,4
0.201,4.569,4.957,4
-1.197,4.895,5.302,4
-2.633,4.665,8.96,4
-2.767,4.301,12.73,4
-2.384,3.094,13.58,4
-0.526,1.485,10.13,4
1.886,1.619,5.723,4
1.407,3.056,2.62,4
-1.503,6.082,3.942,4
-3.84,7.155,8.692,4
-4.07,3.956,13.1,4
-0.679,2.807,12.98,4
0.699,2.539,8.481,4
-0.833,1.887,4.286,4
2.442,4.512,1.126,4
-1.35,5.852,4.44,4
-3.782,5.546,7.562,4
-4.376,4.531,9.956,4
-3.514,4.205,11.32,4
-3.917,4.128,10.78,4
-4.223,4.837,8.443,4
-4.012,5.412,3.099,4
-2.288,4.875,0.36,4
-3.112,4.014,3.061,4
-4.759,3.228,3.482,4
-3.591,1.351,8.615,4
-3.361,1.447,13.21,4
-6.004,2.615,6.949,4
-5.602,1.37,4.535,4
-5.775,2.156,4.057,4
-5.123,-2.268,4.459,4
-6.962,-5.218,0.992,4
-11.52,-7.785,-0.329,4
-12.75,-3.59,-0.597,4
-17.98,-7.67,1.509,4
-17.08,-6.118,4.65,4
-13.93,-5.467,1.873,4
-10.39,-7.248,-0.022,4
-12.52,-7.114,1.701,4
-6.981,-4.643,-1.65,4
-10.7,-4.03,3.501,4
-5.813,-3.973,-0.501,4
-9.088,-2.153,-0.865,4
-3.553,-2.287,0.456,4
-11.14,-1.962,-1.823,4
-5.468,-1.923,-2.302,4
-11.25,-1.387,-0.903,4
-8.514,-2.249,-1.248,4
-4.625,-8.397,-1.401,4
-9.663,-4.605,2.486,4
-6.675,-7.172,-3.489,4
-4.721,-3.341,-1.899,4
-6.866,-6.252,-1.919,4
-2.346,-4.471,-0.942,4
-1.139,-2.881,0.551,4
-2.116,-34.04,3.386,4
1.79,-2.594,0.092,4
-4.146,-12.04,2.716,4
-0.909,-7.536,0.417,4
-7.077,-14.89,0.571,4
-2.097,-6.616,-0.329,4
-5.219,-13.97,2.275,4
-0.641,-5.294,-2.033,4
-7.364,-15.52,1.72,4
-2.116,-6.31,-0.539,4
-6.732,-14.49,2.467,4
-1.829,-6.482,-2.11,4
-5.928,-13.34,2.314,4
-1.082,-6.559,-2.397,4
